customer_id,age,gender,city,branch_code,credit_score,tenure_years,account_balance,estimated_salary,num_products,has_credit_card,is_active_member,is_churned,transaction_id,transaction_date,amount,merchant_category,transaction_type,hour,day_of_week,is_weekend,is_fraud
C00001,60,Male,Lahore,LHR-001,555,3,398173.28,502515.63,1,1,0,1,TXN0000001,2023-01-05,6134.71,atm,debit,18,3,0,0
C00311,42,Male,Lahore,LHR-001,456,4,213772.52,133145.7,1,1,0,0,TXN0002158,2023-01-05,27562.21,grocery,debit,12,3,0,0
C00450,22,Male,Karachi,KHI-001,784,5,118169.45,480314.54,1,0,0,0,TXN0003152,2023-01-06,26647.68,grocery,debit,13,4,0,0
C00497,53,Female,Lahore,LHR-001,494,10,472430.3,244287.0,3,1,1,0,TXN0003466,2023-01-06,2111.85,grocery,debit,8,4,0,0
C00280,69,Female,Islamabad,ISB-001,351,1,7600.64,48213.55,1,1,1,0,TXN0001942,2023-01-07,294717.44,online,credit,8,5,1,1
C00073,57,Female,Karachi,KHI-001,742,10,174549.51,339175.64,4,0,1,1,TXN0000541,2023-01-07,25099.96,atm,debit,18,5,1,0
C00073,57,Female,Karachi,KHI-001,742,10,174549.51,339175.64,4,0,1,1,TXN0000540,2023-01-07,50458.13,travel,debit,13,5,1,0
C00334,54,Female,Lahore,LHR-001,709,1,211665.51,496819.24,1,1,0,0,TXN0002333,2023-01-07,218638.88,restaurant,transfer,19,5,1,1
C00206,58,Male,Karachi,KHI-001,368,2,390980.59,140805.84,3,1,1,0,TXN0001423,2023-01-07,5041.29,electronics,credit,23,5,1,0
C00063,23,Male,Peshawar,PEW-001,498,6,245746.95,121716.36,2,1,1,0,TXN0000452,2023-01-07,2349.35,electronics,transfer,19,5,1,0
C00088,47,Male,Karachi,KHI-001,425,3,327426.77,373074.92,4,0,0,0,TXN0000642,2023-01-07,7002.91,electronics,credit,8,5,1,0
C00127,61,Male,Multan,MUL-001,611,3,113948.12,154003.84,2,1,0,1,TXN0000905,2023-01-08,733301.11,online,debit,17,6,1,1
C00109,54,Male,Karachi,KHI-001,377,9,303842.16,308396.2,3,1,0,0,TXN0000777,2023-01-08,1796.29,online,transfer,11,6,1,0
C00113,62,Male,Karachi,KHI-001,778,7,461865.31,456796.28,1,0,0,1,TXN0000794,2023-01-08,7180.45,travel,debit,10,6,1,0
C00481,47,Female,Lahore,LHR-001,622,5,41973.74,413131.86,3,1,1,1,TXN0003365,2023-01-08,7825.28,online,debit,20,6,1,0
C00465,33,Female,Islamabad,ISB-001,488,5,145254.76,52820.54,3,1,1,0,TXN0003248,2023-01-09,4827.61,restaurant,credit,16,0,0,0
C00274,58,Male,Islamabad,ISB-001,377,10,301151.6,355525.8,3,0,1,1,TXN0001898,2023-01-09,22130.9,electronics,debit,18,0,0,0
C00468,58,Female,Islamabad,ISB-001,848,3,420860.14,576100.82,4,0,1,0,TXN0003268,2023-01-10,7607.41,online,debit,12,1,0,0
C00065,63,Female,Karachi,KHI-001,653,8,387081.58,359706.52,1,1,0,1,TXN0000469,2023-01-10,35475.3,grocery,transfer,12,1,0,0
C00199,53,Female,Peshawar,PEW-001,682,8,416173.98,59145.15,2,1,0,1,TXN0001376,2023-01-10,15958.73,travel,debit,21,1,0,0
C00154,58,Female,Lahore,LHR-001,526,7,55975.83,266973.7,3,0,0,0,TXN0001096,2023-01-11,18979.94,online,withdrawal,20,2,0,0
C00451,68,Male,Peshawar,PEW-001,736,5,454807.15,361768.93,3,0,1,0,TXN0003162,2023-01-11,5247.77,atm,credit,10,2,0,0
C00472,49,Female,Lahore,LHR-001,629,0,395459.46,308438.49,3,1,0,0,TXN0003299,2023-01-11,3602.01,electronics,debit,19,2,0,0
C00392,46,Male,Karachi,KHI-001,792,8,264890.59,287749.56,3,1,1,0,TXN0002735,2023-01-11,3681.73,electronics,debit,12,2,0,0
C00356,52,Female,Peshawar,PEW-001,497,8,152016.42,123834.22,4,0,1,0,TXN0002477,2023-01-11,322706.24,atm,debit,23,2,0,1
C00009,44,Male,Islamabad,ISB-001,780,1,192718.15,57529.3,3,1,1,0,TXN0000054,2023-01-11,17811.44,grocery,debit,17,2,0,0
C00167,23,Female,Islamabad,ISB-001,439,2,130674.84,93346.44,1,0,0,0,TXN0001182,2023-01-12,3578.38,grocery,debit,10,3,0,0
C00249,28,Female,Islamabad,ISB-001,462,9,386638.03,363223.73,1,0,0,0,TXN0001735,2023-01-12,6090.68,electronics,credit,8,3,0,0
C00388,50,Male,Lahore,LHR-001,674,6,316740.07,264665.23,1,0,0,0,TXN0002692,2023-01-12,4335.08,restaurant,credit,19,3,0,0
C00335,49,Male,Karachi,KHI-001,424,9,233661.71,249165.42,2,0,1,0,TXN0002339,2023-01-12,41325.52,online,credit,13,3,0,0
C00202,33,Male,Karachi,KHI-001,394,3,184565.16,169433.31,4,0,1,1,TXN0001397,2023-01-12,3024.15,grocery,credit,17,3,0,0
C00219,47,Male,Peshawar,PEW-001,825,0,213743.45,332168.83,4,1,1,1,TXN0001505,2023-01-13,21329.16,restaurant,transfer,19,4,0,0
C00351,62,Female,Lahore,LHR-001,770,9,171503.38,449896.52,3,1,1,0,TXN0002445,2023-01-13,11939.48,atm,debit,12,4,0,0
C00173,65,Female,Islamabad,ISB-001,667,0,444292.94,369511.07,1,1,1,0,TXN0001224,2023-01-14,5841.04,grocery,withdrawal,8,5,1,0
C00176,51,Male,Lahore,LHR-001,659,5,403630.91,172735.6,1,0,0,1,TXN0001246,2023-01-14,26398.84,electronics,credit,19,5,1,0
C00143,30,Male,Islamabad,ISB-001,442,1,314363.11,374725.2,4,0,1,0,TXN0001021,2023-01-14,836.25,travel,debit,10,5,1,0
C00221,27,Male,Lahore,LHR-001,802,0,450783.29,338057.19,1,1,0,0,TXN0001520,2023-01-14,8878.68,grocery,credit,21,5,1,0
C00389,63,Male,Peshawar,PEW-001,763,4,112080.39,245495.4,4,0,0,0,TXN0002703,2023-01-14,10829.63,healthcare,transfer,20,5,1,0
C00152,25,Female,Karachi,KHI-001,689,0,251020.91,172043.57,4,1,1,0,TXN0001084,2023-01-14,14100.7,grocery,credit,21,5,1,0
C00279,40,Female,Quetta,QTA-001,466,4,484011.2,288874.89,3,0,1,0,TXN0001935,2023-01-14,7162.27,grocery,debit,14,5,1,0
C00081,61,Male,Karachi,KHI-001,357,3,131727.69,428188.61,1,1,1,0,TXN0000586,2023-01-15,5069.58,electronics,debit,9,6,1,0
C00127,61,Male,Multan,MUL-001,611,3,113948.12,154003.84,2,0,0,1,TXN0000901,2023-01-15,506574.4,online,debit,20,6,1,1
C00173,65,Female,Islamabad,ISB-001,667,0,444292.94,369511.07,1,0,1,0,TXN0001219,2023-01-15,618458.7,grocery,debit,16,6,1,1
C00060,57,Female,Islamabad,ISB-001,399,6,303959.15,548378.45,2,0,1,0,TXN0000430,2023-01-15,12673.61,online,debit,12,6,1,0
C00203,60,Female,Karachi,KHI-001,350,2,431228.67,68950.23,4,1,0,0,TXN0001404,2023-01-15,2120.84,atm,credit,19,6,1,0
C00223,25,Male,Multan,MUL-001,502,4,343176.01,114320.21,1,0,1,0,TXN0001536,2023-01-15,464178.24,grocery,transfer,20,6,1,1
C00091,62,Female,Karachi,KHI-001,364,3,39116.16,207348.1,1,0,0,1,TXN0000665,2023-01-15,1372.37,electronics,debit,19,6,1,0
C00006,42,Female,Karachi,KHI-001,724,10,466804.34,113547.67,1,1,0,0,TXN0000037,2023-01-16,41271.55,healthcare,transfer,16,0,0,0
C00024,42,Male,Lahore,LHR-001,657,1,343076.12,304058.18,4,0,0,0,TXN0000184,2023-01-16,7829.07,grocery,credit,16,0,0,0
C00191,30,Male,Lahore,LHR-001,390,9,323248.15,239769.95,2,1,0,0,TXN0001335,2023-01-16,21184.16,grocery,debit,16,0,0,0
C00047,30,Male,Islamabad,ISB-001,604,3,498857.84,222518.26,4,1,0,1,TXN0000324,2023-01-16,5993.88,travel,credit,21,0,0,0
C00249,28,Female,Islamabad,ISB-001,462,9,386638.03,363223.73,1,0,0,0,TXN0001732,2023-01-16,3885.23,healthcare,transfer,18,0,0,0
C00155,44,Male,Islamabad,ISB-001,490,0,170509.59,377039.01,1,0,1,1,TXN0001105,2023-01-16,14403.14,online,transfer,15,0,0,0
C00029,46,Female,Karachi,KHI-001,576,7,272191.63,126048.5,4,0,1,0,TXN0000223,2023-01-16,4033.96,restaurant,credit,9,0,0,0
C00041,30,Male,Lahore,LHR-001,474,10,348390.22,380091.61,2,0,1,0,TXN0000295,2023-01-16,30378.08,electronics,transfer,13,0,0,0
C00388,50,Male,Lahore,LHR-001,674,6,316740.07,264665.23,1,1,0,0,TXN0002693,2023-01-16,6294.02,restaurant,debit,13,0,0,0
C00276,30,Female,Karachi,KHI-001,433,0,42587.04,347159.84,4,0,1,0,TXN0001911,2023-01-17,16076.43,grocery,withdrawal,21,1,0,0
C00442,49,Male,Karachi,KHI-001,654,4,351000.42,233940.19,2,1,1,0,TXN0003101,2023-01-17,9218.21,restaurant,transfer,21,1,0,0
C00115,28,Female,Islamabad,ISB-001,691,8,243014.3,282846.99,2,1,1,0,TXN0000812,2023-01-17,14117.73,travel,credit,17,1,0,0
C00148,34,Male,Karachi,KHI-001,491,6,358459.3,241124.58,3,1,1,0,TXN0001057,2023-01-17,1046.96,online,transfer,12,1,0,0
C00299,39,Male,Islamabad,ISB-001,562,9,30539.92,440674.91,4,1,1,0,TXN0002068,2023-01-17,2616.23,atm,credit,8,1,0,0
C00305,62,Male,Peshawar,PEW-001,628,7,239239.01,574609.62,4,0,0,0,TXN0002115,2023-01-17,16941.13,travel,withdrawal,10,1,0,0
C00103,45,Male,Lahore,LHR-001,506,6,117560.83,62822.3,2,0,1,0,TXN0000737,2023-01-18,33263.36,online,transfer,20,2,0,0
C00157,66,Male,Islamabad,ISB-001,835,4,377856.88,248795.24,4,0,0,1,TXN0001121,2023-01-18,2591.39,travel,withdrawal,18,2,0,0
C00064,27,Male,Karachi,KHI-001,674,6,207432.81,97563.75,3,0,1,0,TXN0000458,2023-01-18,59371.6,online,credit,9,2,0,0
C00200,45,Male,Lahore,LHR-001,476,0,175870.11,592548.07,2,0,1,0,TXN0001382,2023-01-18,2932.22,grocery,withdrawal,16,2,0,0
C00404,33,Male,Islamabad,ISB-001,400,8,231428.89,251946.8,4,1,0,0,TXN0002819,2023-01-18,3983.03,atm,credit,13,2,0,0
C00349,27,Male,Peshawar,PEW-001,356,1,202152.26,183161.2,4,1,0,0,TXN0002429,2023-01-19,48307.22,healthcare,debit,10,3,0,0
C00447,30,Female,Lahore,LHR-001,658,3,440140.38,567736.73,4,1,0,0,TXN0003132,2023-01-19,6325.29,restaurant,withdrawal,8,3,0,0
C00141,60,Female,Islamabad,ISB-001,798,6,177946.56,261488.5,3,0,0,0,TXN0001005,2023-01-19,22111.68,grocery,debit,12,3,0,0
C00211,44,Male,Karachi,KHI-001,458,7,95143.03,262532.23,1,1,1,0,TXN0001462,2023-01-19,6204.64,restaurant,debit,16,3,0,0
C00039,28,Female,Islamabad,ISB-001,351,4,169743.81,40689.83,2,0,1,0,TXN0000273,2023-01-19,3360.32,travel,transfer,15,3,0,0
C00496,40,Female,Islamabad,ISB-001,354,8,236927.01,377429.77,2,0,0,0,TXN0003461,2023-01-19,529993.46,grocery,transfer,14,3,0,1
C00236,30,Female,Peshawar,PEW-001,799,6,367431.37,249606.19,2,1,0,0,TXN0001642,2023-01-20,1945.16,restaurant,transfer,19,4,0,0
C00374,43,Female,Karachi,KHI-001,674,9,494646.53,418471.1,4,0,1,0,TXN0002592,2023-01-20,49281.61,atm,credit,8,4,0,0
C00471,35,Male,Lahore,LHR-001,796,0,378080.92,362091.48,1,0,1,0,TXN0003295,2023-01-20,15780.35,healthcare,transfer,9,4,0,0
C00103,45,Male,Lahore,LHR-001,506,6,117560.83,62822.3,2,1,1,0,TXN0000740,2023-01-20,2295.37,restaurant,credit,12,4,0,0
C00345,49,Female,Karachi,KHI-001,639,0,23610.4,242032.61,2,1,1,0,TXN0002402,2023-01-20,618.92,grocery,debit,17,4,0,0
C00490,31,Female,Islamabad,ISB-001,624,1,411648.91,564411.54,4,1,0,1,TXN0003422,2023-01-20,9591.79,restaurant,credit,17,4,0,0
C00069,47,Female,Karachi,KHI-001,521,0,359508.64,233769.28,1,1,1,0,TXN0000498,2023-01-21,30789.4,atm,credit,14,5,1,0
C00343,38,Female,Islamabad,ISB-001,757,4,31078.5,402099.31,4,0,1,0,TXN0002393,2023-01-21,5707.76,electronics,debit,21,5,1,0
C00267,47,Female,Karachi,KHI-001,747,5,81562.71,526584.35,4,1,0,0,TXN0001853,2023-01-22,5711.58,restaurant,transfer,15,6,1,0
C00295,46,Male,Peshawar,PEW-001,650,5,490385.52,306949.47,3,0,1,0,TXN0002039,2023-01-22,41217.78,online,withdrawal,8,6,1,0
C00392,46,Male,Karachi,KHI-001,792,8,264890.59,287749.56,3,1,1,0,TXN0002734,2023-01-22,29386.61,atm,debit,8,6,1,0
C00255,61,Male,Karachi,KHI-001,390,2,307150.31,596268.68,4,1,0,1,TXN0001785,2023-01-22,13886.14,atm,debit,13,6,1,0
C00228,26,Male,Quetta,QTA-001,842,10,38251.82,145475.49,2,0,0,0,TXN0001574,2023-01-22,1123.12,online,transfer,18,6,1,0
C00224,32,Male,Lahore,LHR-001,696,9,412179.02,120383.72,2,1,1,0,TXN0001549,2023-01-22,33070.79,online,credit,20,6,1,0
C00308,25,Male,Lahore,LHR-001,633,0,366856.72,150406.31,2,0,1,0,TXN0002135,2023-01-23,4621.74,grocery,transfer,20,0,0,0
C00040,42,Female,Karachi,KHI-001,710,1,366621.82,375063.27,3,1,0,1,TXN0000284,2023-01-23,17303.53,healthcare,credit,19,0,0,0
C00298,50,Male,Islamabad,ISB-001,706,6,348121.73,458250.4,3,0,1,0,TXN0002065,2023-01-23,6331.24,grocery,debit,15,0,0,0
C00133,58,Female,Quetta,QTA-001,617,5,431012.85,392108.3,2,1,0,1,TXN0000942,2023-01-23,6788.15,electronics,transfer,10,0,0,0
C00157,66,Male,Islamabad,ISB-001,835,4,377856.88,248795.24,4,0,0,1,TXN0001124,2023-01-24,7978.54,healthcare,transfer,10,1,0,0
C00119,55,Male,Islamabad,ISB-001,511,1,456810.98,405827.29,1,1,0,1,TXN0000838,2023-01-24,11432.98,grocery,transfer,19,1,0,0
C00257,32,Male,Karachi,KHI-001,607,0,201341.44,90669.75,2,0,0,1,TXN0001796,2023-01-24,807507.54,online,debit,18,1,0,1
C00378,63,Male,Karachi,KHI-001,465,6,419723.74,48859.81,2,0,0,0,TXN0002616,2023-01-24,17067.84,grocery,transfer,9,1,0,0
C00337,54,Female,Lahore,LHR-001,509,2,5117.57,102890.43,4,1,0,0,TXN0002352,2023-01-25,6331.91,electronics,credit,15,2,0,0
C00425,26,Male,Quetta,QTA-001,550,8,442038.6,51214.76,1,1,0,0,TXN0002977,2023-01-25,17071.2,atm,debit,17,2,0,0
C00410,53,Male,Islamabad,ISB-001,594,7,22534.07,89709.74,1,0,1,0,TXN0002867,2023-01-25,30613.97,electronics,credit,10,2,0,0
C00298,50,Male,Islamabad,ISB-001,706,6,348121.73,458250.4,3,1,1,0,TXN0002066,2023-01-25,10891.84,electronics,credit,11,2,0,0
C00395,28,Male,Multan,MUL-001,394,5,248137.24,79161.7,2,1,0,1,TXN0002757,2023-01-25,6122.08,online,debit,17,2,0,0
C00083,37,Female,Karachi,KHI-001,692,9,298516.64,63062.76,1,1,1,0,TXN0000596,2023-01-26,14789.97,online,debit,17,3,0,0
C00116,30,Female,Islamabad,ISB-001,841,1,459635.09,64450.53,1,1,0,1,TXN0000819,2023-01-26,3326.61,electronics,credit,18,3,0,0
C00042,60,Female,Karachi,KHI-001,459,7,87531.73,178622.38,3,1,1,1,TXN0000298,2023-01-26,4195.39,atm,transfer,12,3,0,0
C00098,30,Male,Multan,MUL-001,581,9,86932.65,410059.27,3,0,1,0,TXN0000711,2023-01-26,4591.93,atm,credit,17,3,0,0
C00066,25,Female,Karachi,KHI-001,625,2,11040.52,50285.88,2,0,1,1,TXN0000481,2023-01-26,5480.02,grocery,debit,17,3,0,0
C00330,48,Male,Peshawar,PEW-001,684,8,370238.6,143727.93,3,1,1,0,TXN0002301,2023-01-26,37290.27,atm,credit,15,3,0,0
C00072,31,Female,Multan,MUL-001,794,5,479742.02,80553.11,2,0,1,0,TXN0000536,2023-01-27,8143.1,grocery,withdrawal,8,4,0,0
C00150,60,Male,Karachi,KHI-001,781,2,269555.67,300855.17,4,1,1,0,TXN0001070,2023-01-27,1504.71,grocery,credit,14,4,0,0
C00049,23,Female,Karachi,KHI-001,365,4,354955.33,282618.18,3,0,0,1,TXN0000352,2023-01-27,14292.89,atm,withdrawal,11,4,0,0
C00302,23,Male,Karachi,KHI-001,476,4,296190.56,281282.77,3,1,1,0,TXN0002099,2023-01-27,4859.01,grocery,debit,9,4,0,0
C00021,51,Male,Karachi,KHI-001,669,10,454393.73,526148.78,3,1,0,1,TXN0000156,2023-01-27,35041.39,travel,transfer,21,4,0,0
C00149,53,Female,Karachi,KHI-001,640,0,266185.63,254954.41,1,0,0,0,TXN0001062,2023-01-28,120936.44,online,debit,14,5,1,1
C00186,24,Male,Islamabad,ISB-001,626,7,318454.18,571206.68,3,0,1,0,TXN0001311,2023-01-28,15036.54,grocery,transfer,13,5,1,0
C00450,22,Male,Karachi,KHI-001,784,5,118169.45,480314.54,1,1,0,0,TXN0003155,2023-01-28,15985.62,grocery,credit,12,5,1,0
C00076,69,Male,Islamabad,ISB-001,814,3,147525.16,501727.87,1,0,0,1,TXN0000550,2023-01-28,8240.49,online,credit,10,5,1,0
C00264,56,Female,Karachi,KHI-001,680,9,421557.18,544770.36,2,0,1,0,TXN0001831,2023-01-29,43369.86,restaurant,withdrawal,21,6,1,0
C00132,56,Male,Islamabad,ISB-001,410,3,280866.16,513897.36,2,1,0,0,TXN0000933,2023-01-29,41751.82,grocery,transfer,18,6,1,0
C00218,65,Male,Lahore,LHR-001,452,5,324301.81,182365.76,2,0,1,0,TXN0001497,2023-01-29,48406.69,restaurant,debit,13,6,1,0
C00057,56,Male,Multan,MUL-001,616,0,270558.27,407910.96,1,0,1,0,TXN0000410,2023-01-29,13238.49,electronics,transfer,19,6,1,0
C00048,47,Male,Lahore,LHR-001,532,9,377439.54,370547.81,1,0,1,0,TXN0000334,2023-01-29,9561.61,healthcare,transfer,12,6,1,0
C00328,29,Female,Karachi,KHI-001,505,3,271508.74,205355.84,4,1,1,0,TXN0002290,2023-01-29,3180.96,grocery,debit,12,6,1,0
C00059,38,Male,Islamabad,ISB-001,843,7,231215.11,573483.24,1,0,1,0,TXN0000417,2023-01-29,8177.0,atm,debit,11,6,1,0
C00376,23,Male,Islamabad,ISB-001,767,7,37168.27,289642.91,2,1,1,0,TXN0002604,2023-01-29,554035.54,atm,transfer,14,6,1,1
C00477,26,Male,Peshawar,PEW-001,703,3,386637.22,504426.15,1,1,0,0,TXN0003329,2023-01-29,2090.9,restaurant,credit,8,6,1,0
C00360,53,Male,Islamabad,ISB-001,793,0,142246.49,526785.39,3,1,1,0,TXN0002498,2023-01-29,26663.11,healthcare,withdrawal,20,6,1,0
C00398,41,Female,Karachi,KHI-001,504,0,234373.47,371974.72,1,0,1,0,TXN0002773,2023-01-29,86334.62,online,credit,23,6,1,1
C00499,26,Female,Peshawar,PEW-001,513,5,427833.84,356087.01,4,1,0,0,TXN0003482,2023-01-29,4281.93,atm,debit,9,6,1,0
C00209,23,Male,Peshawar,PEW-001,805,1,492756.82,367415.59,4,1,0,0,TXN0001451,2023-01-30,5622.55,online,debit,20,0,0,0
C00399,22,Male,Karachi,KHI-001,779,3,313354.0,420873.88,2,1,0,0,TXN0002779,2023-01-30,6811.82,electronics,debit,18,0,0,0
C00467,37,Female,Karachi,KHI-001,673,2,218959.19,165224.08,1,0,1,0,TXN0003265,2023-01-30,19804.75,atm,credit,21,0,0,0
C00209,23,Male,Peshawar,PEW-001,805,1,492756.82,367415.59,4,0,0,0,TXN0001448,2023-01-30,1899.19,atm,credit,19,0,0,0
C00082,42,Male,Lahore,LHR-001,650,2,364417.32,500006.81,1,0,1,0,TXN0000594,2023-01-30,12197.89,restaurant,withdrawal,14,0,0,0
C00238,37,Male,Islamabad,ISB-001,827,0,318383.54,176722.48,1,0,1,0,TXN0001655,2023-01-30,8583.17,healthcare,debit,19,0,0,0
C00247,41,Female,Karachi,KHI-001,773,4,96263.61,503029.77,2,1,0,0,TXN0001723,2023-01-30,22868.05,online,credit,16,0,0,0
C00258,49,Male,Lahore,LHR-001,796,0,477273.03,201663.93,4,0,1,0,TXN0001799,2023-01-30,12258.29,travel,debit,19,0,0,0
C00138,26,Male,Karachi,KHI-001,816,9,201672.47,327837.69,1,0,0,0,TXN0000989,2023-01-30,633.3,online,withdrawal,10,0,0,0
C00306,57,Male,Peshawar,PEW-001,757,0,159863.15,406628.13,1,1,1,0,TXN0002117,2023-01-30,8891.64,healthcare,debit,13,0,0,0
C00340,40,Female,Lahore,LHR-001,449,1,466632.01,328498.1,4,0,0,1,TXN0002374,2023-01-31,879646.89,atm,credit,11,1,0,1
C00007,60,Male,Peshawar,PEW-001,470,3,495510.09,526110.42,3,0,1,0,TXN0000044,2023-01-31,9825.62,online,debit,20,1,0,0
C00010,32,Female,Multan,MUL-001,849,2,463592.46,449511.24,1,0,1,0,TXN0000063,2023-01-31,3744.77,atm,debit,13,1,0,0
C00128,43,Male,Karachi,KHI-001,563,0,110276.99,510653.35,4,0,1,0,TXN0000911,2023-02-01,7200.05,healthcare,debit,15,2,0,0
C00213,53,Male,Lahore,LHR-001,794,10,258666.54,424141.93,3,0,1,0,TXN0001472,2023-02-01,7100.18,healthcare,transfer,9,2,0,0
C00223,25,Male,Multan,MUL-001,502,4,343176.01,114320.21,1,1,1,0,TXN0001541,2023-02-01,6308.69,travel,transfer,16,2,0,0
C00016,24,Female,Multan,MUL-001,513,2,400770.88,214693.11,1,1,1,0,TXN0000116,2023-02-01,24062.99,grocery,withdrawal,13,2,0,0
C00499,26,Female,Peshawar,PEW-001,513,5,427833.84,356087.01,4,0,0,0,TXN0003481,2023-02-01,23885.88,grocery,credit,9,2,0,0
C00060,57,Female,Islamabad,ISB-001,399,6,303959.15,548378.45,2,1,1,0,TXN0000433,2023-02-01,26959.95,restaurant,debit,12,2,0,0
C00106,29,Female,Quetta,QTA-001,660,1,373403.58,445902.87,4,1,0,0,TXN0000760,2023-02-02,26724.29,grocery,debit,17,3,0,0
C00307,54,Male,Peshawar,PEW-001,643,9,64658.68,252841.73,1,0,1,0,TXN0002125,2023-02-02,10675.71,restaurant,debit,18,3,0,0
C00133,58,Female,Quetta,QTA-001,617,5,431012.85,392108.3,2,0,0,1,TXN0000940,2023-02-02,24776.5,online,credit,15,3,0,0
C00267,47,Female,Karachi,KHI-001,747,5,81562.71,526584.35,4,1,0,0,TXN0001859,2023-02-02,5208.77,online,debit,11,3,0,0
C00109,54,Male,Karachi,KHI-001,377,9,303842.16,308396.2,3,0,0,0,TXN0000774,2023-02-02,1975.17,grocery,credit,14,3,0,0
C00450,22,Male,Karachi,KHI-001,784,5,118169.45,480314.54,1,1,0,0,TXN0003153,2023-02-02,5757.44,online,debit,8,3,0,0
C00455,46,Male,Peshawar,PEW-001,458,2,133050.72,262420.12,4,0,0,0,TXN0003191,2023-02-02,4759.47,restaurant,withdrawal,8,3,0,0
C00273,26,Male,Lahore,LHR-001,388,4,353938.15,381505.81,1,1,0,0,TXN0001893,2023-02-03,21795.97,online,debit,8,4,0,0
C00283,41,Male,Islamabad,ISB-001,736,6,404677.97,399842.54,3,0,1,0,TXN0001963,2023-02-03,23945.52,online,transfer,9,4,0,0
C00330,48,Male,Peshawar,PEW-001,684,8,370238.6,143727.93,3,0,1,0,TXN0002303,2023-02-03,4654.76,electronics,withdrawal,17,4,0,0
C00482,69,Female,Islamabad,ISB-001,448,1,426945.26,108186.67,3,0,1,0,TXN0003370,2023-02-03,60314.42,grocery,debit,11,4,0,0
C00200,45,Male,Lahore,LHR-001,476,0,175870.11,592548.07,2,0,1,0,TXN0001379,2023-02-04,8198.95,grocery,credit,18,5,1,0
C00407,49,Male,Peshawar,PEW-001,664,5,240955.03,289957.32,2,1,0,1,TXN0002842,2023-02-04,29528.59,online,credit,21,5,1,0
