date,revenue
2022-07-09,320644.36
2022-07-10,376814.27
2022-07-11,369733.18
2022-07-12,354336.76
2022-07-13,323728.76
2022-07-14,323428.65
2022-07-15,300848.15
2022-07-16,367673.04
2022-07-17,358012.57
2022-07-18,357926.37
2022-07-19,353499.41
2022-07-20,328825.01
2022-07-21,344585.47
2022-07-22,295988.67
2022-07-23,345534.5
2022-07-24,395018.34
2022-07-25,372676.21
2022-07-26,361382.05
2022-07-27,335835.66
2022-07-28,311158.93
2022-07-29,337396.95
2022-07-30,343751.86
2022-07-31,369243.63
2022-08-01,381360.42
2022-08-02,365826.93
2022-08-03,337820.66
2022-08-04,338604.17
2022-08-05,345326.87
2022-08-06,360626.84
2022-08-07,384862.42
2022-08-08,394898.23
2022-08-09,335035.09
2022-08-10,384456.38
2022-08-11,323851.32
2022-08-12,321211.14
2022-08-13,347874.01
2022-08-14,337511.72
2022-08-15,372785.71
2022-08-16,340424.58
2022-08-17,333950.6
2022-08-18,321343.79
2022-08-19,312500.46
2022-08-20,309834.71
2022-08-21,366344.7
2022-08-22,365782.14
2022-08-23,355277.61
2022-08-24,322059.49
2022-08-25,303806.75
2022-08-26,316083.42
2022-08-27,341488.04
2022-08-28,370123.94
2022-08-29,347697.45
2022-08-30,362437.63
2022-08-31,337701.65
2022-09-01,321194.67
2022-09-02,349001.1
2022-09-03,303326.98
2022-09-04,389035.32
2022-09-05,346357.52
2022-09-06,348306.36
2022-09-07,322408.15
2022-09-08,283342.6
2022-09-09,321111.52
2022-09-10,346005.51
2022-09-11,356917.3
2022-09-12,326867.43
2022-09-13,316899.4
2022-09-14,304267.37
2022-09-15,325485.21
2022-09-16,308409.52
2022-09-17,289483.15
2022-09-18,381462.93
2022-09-19,375395.44
2022-09-20,314557.02
2022-09-21,304305.74
2022-09-22,292237.14
2022-09-23,310875.47
2022-09-24,323820.98
2022-09-25,326757.18
2022-09-26,366678.64
2022-09-27,360172.81
2022-09-28,305423.47
2022-09-29,281685.73
2022-09-30,324776.0
2022-10-01,275332.6
2022-10-02,317503.07
2022-10-03,355280.49
2022-10-04,348397.1
2022-10-05,295128.06
2022-10-06,327624.55
2022-10-07,246631.66
2022-10-08,329114.68
2022-10-09,329742.92
2022-10-10,323490.25
2022-10-11,333762.29
2022-10-12,288486.64
2022-10-13,261664.05
2022-10-14,287387.11
2022-10-15,303135.31
2022-10-16,308867.76
2022-10-17,316695.55
2022-10-18,305324.57
2022-10-19,261072.41
2022-10-20,245673.12
2022-10-21,297022.46
2022-10-22,273446.49
2022-10-23,317609.46
2022-10-24,288428.17
2022-10-25,334987.19
2022-10-26,280664.77
2022-10-27,291457.6
2022-10-28,313581.53
2022-10-29,271235.39
2022-10-30,301103.38
2022-10-31,333268.84
2022-11-01,292053.82
2022-11-02,286389.84
2022-11-03,268906.98
2022-11-04,229151.89
2022-11-05,307304.65
2022-11-06,306857.79
2022-11-07,292136.86
2022-11-08,327435.77
2022-11-09,264750.13
2022-11-10,249753.09
2022-11-11,235338.98
2022-11-12,297558.81
2022-11-13,306722.06
2022-11-14,279076.56
2022-11-15,300854.5
2022-11-16,289246.38
2022-11-17,268771.35
2022-11-18,288770.4
2022-11-19,273256.06
2022-11-20,335178.65
2022-11-21,307950.44
2022-11-22,308483.48
2022-11-23,295111.76
2022-11-24,306033.91
2022-11-25,243478.96
2022-11-26,268966.57
2022-11-27,305049.45
2022-11-28,299613.27
2022-11-29,278179.65
2022-11-30,243339.51
2022-12-01,259415.64
2022-12-02,276205.76
2022-12-03,287703.79
2022-12-04,271522.26
2022-12-05,276749.62
2022-12-06,293228.68
2022-12-07,266148.22
2022-12-08,251236.54
2022-12-09,256846.42
2022-12-10,272501.63
2022-12-11,303795.2
2022-12-12,325889.86
2022-12-13,275872.39
2022-12-14,279313.99
2022-12-15,259316.44
2022-12-16,230773.68
2022-12-17,270850.54
2022-12-18,302639.67
2022-12-19,346527.12
2022-12-20,281294.63
2022-12-21,261998.3
2022-12-22,267246.02
2022-12-23,262973.43
2022-12-24,262246.88
2022-12-25,273695.59
2022-12-26,276695.01
2022-12-27,312443.7
2022-12-28,257394.26
2022-12-29,305591.75
2022-12-30,258795.22
2022-12-31,302298.42
2023-01-01,287634.29
2023-01-02,317403.29
2023-01-03,326537.37
2023-01-04,273762.8
2023-01-05,247675.7
2023-01-06,266048.96
2023-01-07,289134.27
2023-01-08,295583.56
2023-01-09,348683.81
2023-01-10,306542.83
2023-01-11,308379.58
2023-01-12,291995.64
2023-01-13,308976.67
2023-01-14,276131.53
2023-01-15,330859.68
2023-01-16,315956.45
2023-01-17,309905.17
2023-01-18,272297.78
2023-01-19,321087.83
2023-01-20,271862.02
2023-01-21,317444.94
2023-01-22,303174.79
2023-01-23,327661.63
2023-01-24,338926.62
2023-01-25,305535.93
2023-01-26,269971.61
2023-01-27,280062.35
2023-01-28,316616.82
2023-01-29,334148.94
2023-01-30,316902.26
2023-01-31,321421.19
2023-02-01,305249.23
2023-02-02,305891.81
2023-02-03,320053.92
2023-02-04,334796.09
2023-02-05,349743.61
2023-02-06,356377.31
2023-02-07,346319.77
2023-02-08,334689.14
2023-02-09,335842.5
2023-02-10,294174.4
2023-02-11,324643.77
2023-02-12,371949.16
2023-02-13,342196.17
2023-02-14,324798.6
2023-02-15,316429.12
2023-02-16,317348.06
2023-02-17,313829.26
2023-02-18,350242.49
2023-02-19,359641.2
2023-02-20,365008.24
2023-02-21,329303.88
2023-02-22,350098.09
2023-02-23,338490.49
2023-02-24,330633.74
2023-02-25,357938.08
2023-02-26,379170.35
2023-02-27,402016.41
2023-02-28,375326.35
2023-03-01,327348.94
2023-03-02,373980.49
2023-03-03,369454.41
2023-03-04,368494.13
2023-03-05,391744.47
2023-03-06,400814.71
2023-03-07,370042.94
2023-03-08,384132.66
2023-03-09,370582.58
2023-03-10,357527.16
2023-03-11,392605.39
2023-03-12,420710.17
2023-03-13,412733.73
2023-03-14,378464.74
2023-03-15,389575.69
2023-03-16,366633.4
2023-03-17,352661.06
2023-03-18,412466.76
2023-03-19,419583.68
2023-03-20,417952.68
2023-03-21,447798.89
2023-03-22,380944.42
2023-03-23,362212.45
2023-03-24,388785.98
2023-03-25,404684.79
2023-03-26,418931.61
2023-03-27,461140.58
2023-03-28,404026.56
2023-03-29,410080.95
2023-03-30,394525.29
2023-03-31,399557.96
2023-04-01,442075.41
2023-04-02,479774.93
2023-04-03,449611.4
2023-04-04,454043.97
2023-04-05,419072.18
2023-04-06,408206.75
2023-04-07,421712.82
2023-04-08,558138.97
2023-04-09,560216.24
2023-04-10,607376.16
2023-04-11,579941.92
2023-04-12,551276.25
2023-04-13,529270.23
2023-04-14,552581.27
2023-04-15,444441.07
2023-04-16,473584.15
2023-04-17,473668.5
2023-04-18,450513.02
2023-04-19,474688.61
2023-04-20,417104.09
2023-04-21,426775.82
2023-04-22,474484.49
2023-04-23,489293.58
2023-04-24,502324.08
2023-04-25,487838.75
2023-04-26,445401.69
2023-04-27,459348.44
2023-04-28,442391.49
2023-04-29,494318.22
2023-04-30,478759.85
2023-05-01,489095.52
2023-05-02,477882.52
2023-05-03,477334.15
2023-05-04,459069.72
2023-05-05,468669.29
2023-05-06,485784.58
2023-05-07,508241.02
2023-05-08,507080.18
2023-05-09,476749.49
2023-05-10,458845.69
2023-05-11,457694.55
2023-05-12,472825.12
2023-05-13,526190.33
2023-05-14,502671.01
2023-05-15,507809.7
2023-05-16,482793.31
2023-05-17,504485.3
2023-05-18,479674.66
2023-05-19,466613.36
2023-05-20,510484.85
2023-05-21,521574.3
2023-05-22,561726.13
2023-05-23,514310.74
2023-05-24,536726.88
2023-05-25,497191.3
2023-05-26,493248.65
2023-05-27,516696.01
2023-05-28,547545.17
2023-05-29,543647.62
2023-05-30,519648.06
2023-05-31,527312.82
2023-06-01,521598.23
2023-06-02,528367.99
2023-06-03,527819.65
2023-06-04,571162.82
2023-06-05,563253.95
2023-06-06,539998.01
2023-06-07,514670.13
2023-06-08,528988.87
2023-06-09,488105.15
2023-06-10,564071.44
2023-06-11,561996.88
2023-06-12,554897.11
2023-06-13,540314.66
2023-06-14,524551.8
2023-06-15,532730.47
2023-06-16,531457.38
2023-06-17,658107.62
2023-06-18,677130.98
2023-06-19,698275.34
2023-06-20,729387.86
2023-06-21,708392.43
2023-06-22,665445.03
2023-06-23,638246.42
2023-06-24,566118.41
2023-06-25,559485.6
2023-06-26,574353.2
2023-06-27,590270.32
2023-06-28,540319.54
2023-06-29,526790.76
2023-06-30,528276.76
2023-07-01,542865.41
2023-07-02,573029.38
2023-07-03,596497.96
2023-07-04,582404.16
2023-07-05,554367.66
2023-07-06,557256.51
2023-07-07,510372.66
2023-07-08,562388.04
2023-07-09,568683.6
2023-07-10,622425.93
2023-07-11,568982.9
2023-07-12,565634.93
2023-07-13,557074.57
2023-07-14,537571.56
2023-07-15,580888.51
2023-07-16,602757.22
2023-07-17,603310.22
2023-07-18,566417.35
2023-07-19,528595.73
2023-07-20,579515.62
2023-07-21,540797.97
2023-07-22,583813.23
2023-07-23,577051.92
2023-07-24,628117.04
2023-07-25,567951.74
2023-07-26,557106.19
2023-07-27,583613.09
2023-07-28,517899.89
2023-07-29,587930.85
2023-07-30,585292.99
2023-07-31,603274.88
2023-08-01,570687.61
2023-08-02,584626.11
2023-08-03,526936.37
2023-08-04,546926.5
2023-08-05,582500.02
2023-08-06,570279.94
2023-08-07,591987.46
2023-08-08,557515.89
2023-08-09,546820.83
2023-08-10,587533.11
2023-08-11,569009.46
2023-08-12,576123.8
2023-08-13,590031.51
2023-08-14,559717.61
2023-08-15,570683.21
2023-08-16,568607.61
2023-08-17,530156.66
2023-08-18,549054.45
2023-08-19,543652.39
2023-08-20,561266.2
2023-08-21,626307.43
2023-08-22,609599.17
2023-08-23,547581.52
2023-08-24,521114.12
2023-08-25,522498.95
2023-08-26,565730.1
2023-08-27,612353.7
2023-08-28,569246.68
2023-08-29,571339.28
2023-08-30,548179.87
2023-08-31,561388.45
2023-09-01,540703.08
2023-09-02,529472.51
2023-09-03,587088.16
2023-09-04,580829.78
2023-09-05,547988.77
2023-09-06,560345.51
2023-09-07,521457.77
2023-09-08,537259.73
2023-09-09,552735.89
2023-09-10,563628.52
2023-09-11,558535.26
2023-09-12,568996.76
2023-09-13,514564.4
2023-09-14,539004.15
2023-09-15,511032.7
2023-09-16,524257.9
2023-09-17,589283.2
2023-09-18,569823.57
2023-09-19,519589.47
2023-09-20,531193.97
2023-09-21,528149.98
2023-09-22,532713.42
2023-09-23,526076.4
2023-09-24,547409.59
2023-09-25,565784.99
2023-09-26,567246.11
2023-09-27,502413.97
2023-09-28,489141.7
2023-09-29,540514.35
2023-09-30,556527.22
2023-10-01,536416.35
2023-10-02,550454.02
2023-10-03,581068.22
2023-10-04,536498.35
2023-10-05,505465.1
2023-10-06,530972.2
2023-10-07,520495.17
2023-10-08,550794.94
2023-10-09,546436.46
2023-10-10,550461.18
2023-10-11,527906.34
2023-10-12,505000.7
2023-10-13,514131.81
2023-10-14,544316.31
2023-10-15,551049.32
2023-10-16,550805.13
2023-10-17,540167.03
2023-10-18,531885.38
2023-10-19,479184.33
2023-10-20,507417.1
2023-10-21,484806.97
2023-10-22,532528.35
2023-10-23,575687.87
2023-10-24,513322.6
2023-10-25,475816.2
2023-10-26,473969.8
2023-10-27,507991.75
2023-10-28,511701.35
2023-10-29,514866.0
2023-10-30,558924.91
2023-10-31,530737.25
2023-11-01,479932.89
2023-11-02,482647.36
2023-11-03,529275.62
2023-11-04,504296.71
2023-11-05,498371.66
2023-11-06,541615.42
2023-11-07,525990.47
2023-11-08,520886.23
2023-11-09,475823.08
2023-11-10,495171.7
2023-11-11,510737.84
2023-11-12,525279.83
2023-11-13,535610.66
2023-11-14,526673.4
2023-11-15,503644.78
2023-11-16,496349.18
2023-11-17,443248.89
2023-11-18,476552.27
2023-11-19,526520.11
2023-11-20,529272.61
2023-11-21,495057.59
2023-11-22,485352.54
2023-11-23,462711.54
2023-11-24,492746.94
2023-11-25,485436.97
2023-11-26,524686.65
2023-11-27,543910.93
2023-11-28,496085.57
2023-11-29,465787.95
2023-11-30,462557.27
2023-12-01,465316.95
2023-12-02,501158.77
2023-12-03,489284.65
2023-12-04,553597.06
2023-12-05,488520.62
2023-12-06,465147.77
2023-12-07,477026.12
2023-12-08,478571.49
2023-12-09,525071.94
2023-12-10,515086.02
2023-12-11,519813.39
2023-12-12,523199.38
2023-12-13,507048.46
2023-12-14,441630.74
2023-12-15,482833.81
2023-12-16,540206.6
2023-12-17,509977.54
2023-12-18,528988.85
2023-12-19,531396.8
2023-12-20,500406.29
2023-12-21,459541.76
2023-12-22,482423.27
2023-12-23,481240.02
2023-12-24,504264.07
2023-12-25,548712.72
2023-12-26,531084.96
2023-12-27,526595.52
2023-12-28,498044.21
2023-12-29,484204.99
2023-12-30,488592.38
2023-12-31,552108.04
2024-01-01,543639.12
2024-01-02,533855.37
2024-01-03,508719.42
2024-01-04,506887.06
2024-01-05,463616.4
2024-01-06,489446.22
2024-01-07,515879.7
2024-01-08,543707.1
2024-01-09,516173.37
2024-01-10,523819.29
2024-01-11,490509.52
2024-01-12,538221.21
2024-01-13,547747.24
2024-01-14,539845.41
2024-01-15,518637.36
2024-01-16,542901.83
2024-01-17,489728.94
2024-01-18,479686.97
2024-01-19,495971.96
2024-01-20,516207.9
2024-01-21,554187.72
2024-01-22,556036.71
2024-01-23,519549.92
2024-01-24,511818.95
2024-01-25,480281.23
2024-01-26,517982.24
2024-01-27,497996.71
2024-01-28,548007.02
2024-01-29,546659.38
2024-01-30,555828.88
2024-01-31,511024.56
2024-02-01,498050.25
2024-02-02,526623.69
2024-02-03,548457.38
2024-02-04,542426.54
2024-02-05,578057.1
2024-02-06,599544.41
2024-02-07,526551.22
2024-02-08,500828.59
2024-02-09,530213.81
2024-02-10,525355.98
2024-02-11,566600.18
2024-02-12,568496.27
2024-02-13,578041.88
2024-02-14,513810.54
2024-02-15,505033.4
2024-02-16,546723.79
2024-02-17,570749.98
2024-02-18,543488.55
2024-02-19,615959.52
2024-02-20,592457.03
2024-02-21,544564.93
2024-02-22,546514.14
2024-02-23,515827.67
2024-02-24,585221.39
2024-02-25,578569.13
2024-02-26,593946.7
2024-02-27,586587.76
2024-02-28,590371.09
2024-02-29,565272.54
2024-03-01,556992.71
2024-03-02,574192.1
2024-03-03,610203.15
2024-03-04,611245.23
2024-03-05,596728.24
2024-03-06,581328.82
2024-03-07,564670.84
2024-03-08,548044.97
2024-03-09,596593.69
2024-03-10,618656.69
2024-03-11,628152.8
2024-03-12,596060.58
2024-03-13,579927.35
2024-03-14,612211.24
2024-03-15,576115.36
2024-03-16,620078.1
2024-03-17,618041.25
2024-03-18,605105.54
2024-03-19,625687.64
2024-03-20,618838.05
2024-03-21,590223.57
2024-03-22,567079.88
2024-03-23,584316.35
2024-03-24,666787.4
2024-03-25,652558.27
2024-03-26,652185.34
2024-03-27,625702.65
2024-03-28,589272.2
2024-03-29,612176.17
2024-03-30,607756.19
2024-03-31,676848.83
2024-04-01,672376.06
2024-04-02,668411.43
2024-04-03,658594.62
2024-04-04,617398.29
2024-04-05,617269.47
2024-04-06,650228.58
2024-04-07,816468.54
2024-04-08,772255.69
2024-04-09,789260.52
2024-04-10,783646.71
2024-04-11,763134.53
2024-04-12,783690.59
2024-04-13,758240.55
2024-04-14,706934.77
2024-04-15,682896.66
2024-04-16,644829.82
2024-04-17,656895.51
2024-04-18,636074.92
2024-04-19,654966.29
2024-04-20,652016.78
2024-04-21,698605.86
2024-04-22,697196.68
2024-04-23,731687.48
2024-04-24,679216.4
2024-04-25,668538.73
2024-04-26,667010.43
2024-04-27,714966.77
2024-04-28,722631.31
2024-04-29,747787.84
2024-04-30,727820.51
2024-05-01,682021.62
2024-05-02,690355.92
2024-05-03,698487.86
2024-05-04,722154.91
2024-05-05,733678.54
2024-05-06,708842.02
2024-05-07,720704.71
2024-05-08,703253.78
2024-05-09,690709.19
2024-05-10,716600.87
2024-05-11,705589.7
2024-05-12,740823.43
2024-05-13,743592.88
2024-05-14,745251.3
2024-05-15,745449.11
2024-05-16,712142.57
2024-05-17,717356.55
2024-05-18,710096.41
2024-05-19,721760.54
2024-05-20,760504.22
2024-05-21,740529.35
2024-05-22,731971.64
2024-05-23,700602.01
2024-05-24,743171.18
2024-05-25,717371.16
2024-05-26,756338.96
2024-05-27,759050.09
2024-05-28,773707.26
2024-05-29,729455.17
2024-05-30,711025.85
2024-05-31,729030.94
2024-06-01,734223.08
2024-06-02,768849.47
2024-06-03,773001.62
2024-06-04,815055.38
2024-06-05,734247.61
2024-06-06,728633.48
2024-06-07,740170.98
2024-06-08,761859.67
2024-06-09,796396.73
2024-06-10,818138.92
2024-06-11,756698.32
2024-06-12,758383.54
2024-06-13,735044.82
2024-06-14,749797.74
2024-06-15,784381.34
2024-06-16,934212.92
2024-06-17,926437.55
2024-06-18,903772.19
2024-06-19,895782.07
2024-06-20,849519.2
2024-06-21,857286.8
2024-06-22,893764.66
2024-06-23,812038.9
2024-06-24,791386.25
2024-06-25,780519.41
2024-06-26,727311.44
2024-06-27,793176.52
2024-06-28,751570.22
2024-06-29,726584.11
2024-06-30,799127.14
2024-07-01,810082.0
2024-07-02,784504.36
2024-07-03,751142.84
2024-07-04,770713.54
2024-07-05,774005.78
2024-07-06,789429.05
2024-07-07,786231.33
2024-07-08,794315.35
2024-07-09,785873.16
2024-07-10,763437.56
2024-07-11,769016.17
2024-07-12,755843.88
2024-07-13,765738.37
2024-07-14,810318.43
2024-07-15,850601.76
2024-07-16,780404.89
2024-07-17,760349.97
2024-07-18,757618.7
2024-07-19,778465.29
2024-07-20,794760.32
2024-07-21,802153.41
2024-07-22,801393.78
2024-07-23,833617.35
2024-07-24,794817.84
2024-07-25,792003.78
2024-07-26,778295.94
2024-07-27,783533.2
2024-07-28,811942.65
2024-07-29,842095.14
2024-07-30,805260.46
2024-07-31,743327.73
2024-08-01,785893.51
2024-08-02,792321.92
2024-08-03,807074.36
2024-08-04,780039.57
2024-08-05,815838.67
2024-08-06,813625.16
2024-08-07,773561.49
2024-08-08,766386.87
2024-08-09,774197.93
2024-08-10,768532.64
2024-08-11,811138.64
2024-08-12,789471.26
2024-08-13,791526.92
2024-08-14,760975.15
2024-08-15,773237.26
2024-08-16,773983.12
2024-08-17,791322.92
2024-08-18,805333.82
2024-08-19,812520.63
2024-08-20,826878.06
2024-08-21,792418.69
2024-08-22,737286.48
2024-08-23,749333.58
2024-08-24,774249.09
2024-08-25,792684.41
2024-08-26,786470.97
2024-08-27,797859.58
2024-08-28,763961.26
2024-08-29,754892.06
2024-08-30,724465.75
2024-08-31,745885.77
2024-09-01,783406.58
2024-09-02,808312.43
2024-09-03,791830.2
2024-09-04,779038.38
2024-09-05,734124.66
2024-09-06,763258.71
2024-09-07,797347.49
2024-09-08,805359.8
2024-09-09,769568.36
2024-09-10,798560.03
2024-09-11,762103.73
2024-09-12,750176.78
2024-09-13,791040.22
2024-09-14,769387.3
2024-09-15,795132.73
2024-09-16,789556.56
2024-09-17,769227.68
2024-09-18,757733.21
2024-09-19,729029.73
2024-09-20,743593.18
2024-09-21,754333.6
2024-09-22,741139.69
2024-09-23,773763.09
2024-09-24,785521.68
2024-09-25,755214.05
2024-09-26,727344.18
2024-09-27,737389.32
2024-09-28,739887.34
2024-09-29,760594.7
2024-09-30,777326.31
2024-10-01,759019.11
2024-10-02,726867.38
2024-10-03,724928.55
2024-10-04,710152.74
2024-10-05,777288.17
2024-10-06,783846.37
2024-10-07,732693.52
2024-10-08,772583.29
2024-10-09,728318.33
2024-10-10,710901.75
2024-10-11,738365.94
2024-10-12,741028.68
2024-10-13,755432.17
2024-10-14,742568.48
2024-10-15,768699.5
2024-10-16,748449.25
2024-10-17,718442.64
2024-10-18,698660.62
2024-10-19,743925.25
2024-10-20,768857.66
2024-10-21,760969.68
2024-10-22,763099.5
2024-10-23,727907.17
2024-10-24,716130.06
2024-10-25,741468.52
2024-10-26,724858.88
2024-10-27,724388.39
2024-10-28,753765.05
2024-10-29,732510.79
2024-10-30,694758.42
2024-10-31,717419.4
2024-11-01,710479.51
2024-11-02,696652.62
2024-11-03,776246.8
2024-11-04,739589.56
2024-11-05,727541.82
2024-11-06,733357.41
2024-11-07,710079.89
2024-11-08,726357.04
2024-11-09,686527.18
2024-11-10,739697.24
2024-11-11,751630.93
2024-11-12,758686.4
2024-11-13,697939.8
2024-11-14,693081.6
2024-11-15,706186.33
2024-11-16,736531.23
2024-11-17,722050.08
2024-11-18,761116.77
2024-11-19,722039.38
2024-11-20,717420.86
2024-11-21,693380.14
2024-11-22,706365.01
2024-11-23,724531.95
2024-11-24,763017.75
2024-11-25,740407.98
2024-11-26,725490.66
2024-11-27,728299.37
2024-11-28,720596.8
2024-11-29,692955.14
2024-11-30,731985.3
2024-12-01,723608.8
2024-12-02,756303.45
2024-12-03,746723.33
2024-12-04,703485.73
2024-12-05,714901.77
2024-12-06,695020.09
2024-12-07,719763.48
2024-12-08,745974.93
2024-12-09,726560.34
2024-12-10,705957.67
2024-12-11,713883.67
2024-12-12,682112.98
2024-12-13,678491.04
2024-12-14,734043.14
2024-12-15,767264.15
2024-12-16,760456.14
2024-12-17,710436.59
2024-12-18,713556.46
2024-12-19,691557.08
2024-12-20,686933.36
2024-12-21,723714.66
2024-12-22,740888.41
2024-12-23,743142.35
2024-12-24,752013.2
2024-12-25,736376.86
2024-12-26,694104.17
2024-12-27,702014.77
2024-12-28,720851.06
2024-12-29,754661.95
2024-12-30,756750.91
2024-12-31,725074.57
