transaction_ref,amount,merchant_category,transaction_type,location,hour,day_of_week,is_weekend,transaction_date,is_fraud
TXN0000079,3527.4,grocery,debit,Peshawar,17,5,0,2024-01-02 15:30:00,0
TXN0000080,4743.56,travel,debit,Islamabad,21,5,0,2024-01-02 16:00:00,0
TXN0000081,26938.52,online,debit,Karachi,11,3,0,2024-01-02 16:30:00,0
TXN0000082,3790.15,grocery,transfer,Peshawar,8,5,1,2024-01-02 17:00:00,0
TXN0000083,2389.69,electronics,transfer,Quetta,14,1,1,2024-01-02 17:30:00,0
TXN0000084,2232.07,restaurant,debit,Multan,15,4,0,2024-01-02 18:00:00,0
TXN0000085,4896.44,healthcare,transfer,Lahore,12,3,1,2024-01-02 18:30:00,0
TXN0000086,11400.95,electronics,transfer,Peshawar,9,1,1,2024-01-02 19:00:00,0
TXN0000087,1845.26,grocery,credit,Lahore,15,3,1,2024-01-02 19:30:00,0
TXN0000088,9883.6,atm,transfer,Karachi,8,3,1,2024-01-02 20:00:00,0
TXN0000089,171.01,online,debit,Lahore,14,4,1,2024-01-02 20:30:00,0
TXN0000090,4343.11,grocery,debit,Lahore,8,2,0,2024-01-02 21:00:00,0
TXN0000091,11964.06,restaurant,transfer,Quetta,19,1,0,2024-01-02 21:30:00,0
TXN0000092,3308.78,grocery,credit,Lahore,13,3,1,2024-01-02 22:00:00,0
TXN0000093,6636.08,online,debit,Peshawar,20,6,0,2024-01-02 22:30:00,0
TXN0000094,1835.1,travel,transfer,Lahore,13,3,0,2024-01-02 23:00:00,0
TXN0000095,10838.22,online,transfer,Islamabad,12,0,1,2024-01-02 23:30:00,0
TXN0000096,429.56,grocery,credit,Lahore,9,5,0,2024-01-03 00:00:00,0
TXN0000097,15313.73,online,debit,Islamabad,9,2,0,2024-01-03 00:30:00,0
TXN0000098,1767.13,healthcare,credit,Multan,16,4,1,2024-01-03 01:00:00,0
TXN0000099,16597.1,travel,transfer,Lahore,12,6,0,2024-01-03 01:30:00,0
TXN0000100,3477.45,online,debit,Multan,12,1,1,2024-01-03 02:00:00,0
TXN0000101,10260.77,grocery,debit,Lahore,14,3,0,2024-01-03 02:30:00,0
TXN0000102,3076.19,restaurant,credit,Peshawar,13,5,0,2024-01-03 03:00:00,0
TXN0000103,18908.17,healthcare,credit,Islamabad,9,1,0,2024-01-03 03:30:00,0
TXN0000104,1083.23,atm,debit,Multan,18,4,0,2024-01-03 04:00:00,0
TXN0000105,1573.18,online,debit,Multan,8,2,1,2024-01-03 04:30:00,0
TXN0000106,5434.43,healthcare,debit,Islamabad,12,0,1,2024-01-03 05:00:00,0
TXN0000107,683.93,grocery,debit,Quetta,11,2,0,2024-01-03 05:30:00,0
TXN0000108,1745.05,travel,debit,Lahore,19,0,1,2024-01-03 06:00:00,0
TXN0000109,23025.92,online,credit,Lahore,10,1,1,2024-01-03 06:30:00,0
TXN0000110,30002.52,travel,credit,Peshawar,9,2,0,2024-01-03 07:00:00,0
TXN0000111,3776.16,atm,credit,Quetta,17,2,0,2024-01-03 07:30:00,0
TXN0000112,20541.37,online,credit,Quetta,9,2,1,2024-01-03 08:00:00,0
TXN0000113,6296.58,grocery,debit,Peshawar,21,4,1,2024-01-03 08:30:00,0
TXN0000114,2514.86,electronics,credit,Multan,11,1,1,2024-01-03 09:00:00,0
TXN0000115,9696.01,electronics,debit,Islamabad,9,6,1,2024-01-03 09:30:00,0
TXN0000116,8604.68,online,debit,Multan,11,0,0,2024-01-03 10:00:00,0
TXN0000117,36170.54,electronics,debit,Karachi,10,2,1,2024-01-03 10:30:00,0
TXN0000118,2463.59,grocery,withdrawal,Peshawar,16,1,1,2024-01-03 11:00:00,0
TXN0000119,8919.38,online,debit,Islamabad,14,6,1,2024-01-03 11:30:00,0
TXN0000120,427.41,restaurant,withdrawal,Multan,21,5,0,2024-01-03 12:00:00,0
TXN0000121,965.11,restaurant,debit,Multan,20,4,1,2024-01-03 12:30:00,0
TXN0000122,31.41,healthcare,credit,Quetta,18,4,1,2024-01-03 13:00:00,0
TXN0000123,60201.63,atm,transfer,Peshawar,19,5,0,2024-01-03 13:30:00,0
TXN0000124,12966.97,grocery,debit,Karachi,10,1,0,2024-01-03 14:00:00,0
TXN0000125,12361.31,restaurant,debit,Lahore,20,0,1,2024-01-03 14:30:00,0
TXN0000126,5702.33,electronics,withdrawal,Peshawar,21,1,0,2024-01-03 15:00:00,0
TXN0000127,2854.17,atm,credit,Karachi,15,1,1,2024-01-03 15:30:00,0
TXN0000128,1312.06,online,debit,Karachi,16,3,1,2024-01-03 16:00:00,0
TXN0000129,2680.14,atm,debit,Peshawar,20,6,0,2024-01-03 16:30:00,0
TXN0000130,3772.47,travel,withdrawal,Islamabad,14,4,0,2024-01-03 17:00:00,0
TXN0000131,11294.87,grocery,transfer,Peshawar,13,0,0,2024-01-03 17:30:00,0
TXN0000132,6206.35,online,credit,Multan,11,3,1,2024-01-03 18:00:00,0
TXN0000133,645.2,grocery,debit,Quetta,12,5,0,2024-01-03 18:30:00,0
TXN0000134,145.55,healthcare,transfer,Multan,15,1,1,2024-01-03 19:00:00,0
TXN0000135,863.64,online,debit,Karachi,10,5,0,2024-01-03 19:30:00,0
TXN0000136,4227.83,online,credit,Karachi,9,4,1,2024-01-03 20:00:00,0
TXN0000137,21647.57,restaurant,transfer,Lahore,10,3,1,2024-01-03 20:30:00,0
TXN0000138,8115.69,online,debit,Karachi,19,6,0,2024-01-03 21:00:00,0
TXN0000139,101344.04,electronics,credit,Lahore,0,3,0,2024-01-03 21:30:00,1
TXN0000140,328334.7,electronics,transfer,Karachi,3,0,1,2024-01-03 22:00:00,1
TXN0000141,3591.15,online,transfer,Karachi,8,6,0,2024-01-03 22:30:00,0
TXN0000142,917.9,restaurant,debit,Peshawar,20,1,0,2024-01-03 23:00:00,0
TXN0000143,16695.47,atm,debit,Peshawar,14,0,0,2024-01-03 23:30:00,0
TXN0000144,12228.77,healthcare,debit,Quetta,16,3,0,2024-01-04 00:00:00,0
TXN0000145,1472.52,grocery,debit,Multan,19,6,0,2024-01-04 00:30:00,0
TXN0000146,5743.79,electronics,credit,Islamabad,20,3,0,2024-01-04 01:00:00,0
TXN0000147,5345.68,grocery,credit,Quetta,21,0,0,2024-01-04 01:30:00,0
TXN0000148,7848.59,atm,debit,Karachi,21,3,1,2024-01-04 02:00:00,0
TXN0000149,23377.91,grocery,debit,Quetta,10,6,0,2024-01-04 02:30:00,0
TXN0000150,6935.65,grocery,debit,Peshawar,10,2,1,2024-01-04 03:00:00,0
TXN0000151,6216.01,online,credit,Multan,15,4,0,2024-01-04 03:30:00,0
TXN0000152,413.07,travel,credit,Karachi,11,1,1,2024-01-04 04:00:00,0
TXN0000153,519.79,atm,credit,Karachi,21,4,1,2024-01-04 04:30:00,0
TXN0000154,381909.14,travel,transfer,Quetta,23,1,0,2024-01-04 05:00:00,1
TXN0000155,264.08,travel,transfer,Multan,12,6,0,2024-01-04 05:30:00,0
TXN0000156,10880.43,travel,credit,Lahore,21,3,0,2024-01-04 06:00:00,0
TXN0000157,10279.45,restaurant,debit,Islamabad,10,6,0,2024-01-04 06:30:00,0
TXN0000158,1169.98,electronics,credit,Multan,11,0,1,2024-01-04 07:00:00,0
TXN0000159,14466.96,electronics,debit,Quetta,21,0,1,2024-01-04 07:30:00,0
TXN0000160,1345.32,electronics,debit,Quetta,11,3,0,2024-01-04 08:00:00,0
TXN0000161,2866.85,grocery,withdrawal,Islamabad,15,1,1,2024-01-04 08:30:00,0
TXN0000162,2290.55,restaurant,debit,Karachi,13,3,0,2024-01-04 09:00:00,0
TXN0000163,3725.63,grocery,credit,Karachi,14,1,1,2024-01-04 09:30:00,0
TXN0000164,2351.36,restaurant,credit,Lahore,16,3,0,2024-01-04 10:00:00,0
TXN0000165,5370.32,electronics,debit,Quetta,13,3,1,2024-01-04 10:30:00,0
TXN0000166,4185.99,restaurant,debit,Islamabad,10,3,0,2024-01-04 11:00:00,0
TXN0000167,34481.81,atm,credit,Quetta,20,0,1,2024-01-04 11:30:00,0
TXN0000168,460.41,online,debit,Peshawar,10,1,0,2024-01-04 12:00:00,0
TXN0000169,1226.9,online,debit,Quetta,18,5,0,2024-01-04 12:30:00,0
TXN0000170,434.18,electronics,withdrawal,Quetta,10,3,1,2024-01-04 13:00:00,0
TXN0000171,7864.6,online,credit,Peshawar,19,4,1,2024-01-04 13:30:00,0
TXN0000172,448.41,electronics,debit,Peshawar,17,4,1,2024-01-04 14:00:00,0
TXN0000173,14484.59,travel,debit,Islamabad,9,6,1,2024-01-04 14:30:00,0
TXN0000174,5738.51,atm,credit,Karachi,8,6,1,2024-01-04 15:00:00,0
TXN0000175,5989.41,grocery,debit,Lahore,18,0,0,2024-01-04 15:30:00,0
TXN0000176,6596.89,atm,debit,Peshawar,17,2,1,2024-01-04 16:00:00,0
TXN0000177,1498.48,electronics,credit,Karachi,8,5,1,2024-01-04 16:30:00,0
TXN0000178,1762.08,online,debit,Islamabad,11,0,1,2024-01-04 17:00:00,0
TXN0000179,3071.4,restaurant,credit,Multan,10,2,1,2024-01-04 17:30:00,0
TXN0000180,7201.3,online,credit,Quetta,12,0,0,2024-01-04 18:00:00,0
TXN0000181,1886.97,online,debit,Islamabad,19,6,0,2024-01-04 18:30:00,0
TXN0000182,989.39,atm,debit,Islamabad,16,4,0,2024-01-04 19:00:00,0
TXN0000183,28083.69,restaurant,credit,Peshawar,19,3,0,2024-01-04 19:30:00,0
TXN0000184,177.82,grocery,credit,Lahore,20,1,1,2024-01-04 20:00:00,0
TXN0000185,12984.13,online,debit,Peshawar,15,6,0,2024-01-04 20:30:00,0
TXN0000186,12410.68,travel,debit,Quetta,19,3,0,2024-01-04 21:00:00,0
TXN0000187,2821.62,grocery,withdrawal,Peshawar,16,4,1,2024-01-04 21:30:00,0
TXN0000188,1166.0,grocery,debit,Quetta,20,1,1,2024-01-04 22:00:00,0
TXN0000189,1259.11,electronics,withdrawal,Peshawar,12,2,1,2024-01-04 22:30:00,0
TXN0000190,9563.58,online,debit,Multan,15,2,1,2024-01-04 23:00:00,0
TXN0000191,8235.82,restaurant,debit,Lahore,11,4,1,2024-01-04 23:30:00,0
TXN0000192,12213.49,atm,credit,Multan,12,1,1,2024-01-05 00:00:00,0
TXN0000193,22178.3,online,debit,Karachi,19,3,0,2024-01-05 00:30:00,0
TXN0000194,9419.36,grocery,debit,Lahore,10,4,0,2024-01-05 01:00:00,0
TXN0000195,1355.42,electronics,debit,Peshawar,12,2,1,2024-01-05 01:30:00,0
TXN0000196,2231.82,electronics,withdrawal,Islamabad,19,4,0,2024-01-05 02:00:00,0
TXN0000197,14771.1,online,debit,Karachi,10,3,1,2024-01-05 02:30:00,0
TXN0000198,1878.75,grocery,credit,Islamabad,12,0,1,2024-01-05 03:00:00,0
TXN0000199,602.29,online,transfer,Multan,18,5,0,2024-01-05 03:30:00,0
TXN0000200,9719.73,restaurant,transfer,Lahore,21,5,0,2024-01-05 04:00:00,0
TXN0000201,4120.36,atm,transfer,Karachi,12,6,0,2024-01-05 04:30:00,0
TXN0000202,20209.84,atm,debit,Multan,13,5,0,2024-01-05 05:00:00,0
TXN0000203,8404.41,online,debit,Peshawar,16,0,0,2024-01-05 05:30:00,0
TXN0000204,758.17,grocery,debit,Islamabad,8,3,1,2024-01-05 06:00:00,0
TXN0000205,23630.06,grocery,debit,Peshawar,19,6,0,2024-01-05 06:30:00,0
TXN0000206,2393.26,atm,debit,Quetta,17,1,0,2024-01-05 07:00:00,0
TXN0000207,3290.41,online,debit,Karachi,21,4,1,2024-01-05 07:30:00,0
TXN0000208,4116.8,online,withdrawal,Islamabad,13,3,0,2024-01-05 08:00:00,0
TXN0000209,420.66,grocery,withdrawal,Lahore,8,0,0,2024-01-05 08:30:00,0
TXN0000210,5489.62,online,debit,Lahore,13,6,0,2024-01-05 09:00:00,0
TXN0000211,1052.89,grocery,debit,Lahore,9,2,0,2024-01-05 09:30:00,0
TXN0000212,4099.55,grocery,debit,Multan,15,5,0,2024-01-05 10:00:00,0
TXN0000213,3455.0,electronics,debit,Lahore,18,5,1,2024-01-05 10:30:00,0
TXN0000214,11856.81,travel,debit,Islamabad,10,3,0,2024-01-05 11:00:00,0
TXN0000215,13003.34,grocery,withdrawal,Multan,17,5,0,2024-01-05 11:30:00,0
TXN0000216,1332.34,grocery,debit,Quetta,21,5,1,2024-01-05 12:00:00,0
TXN0000217,3652.61,atm,debit,Lahore,13,3,0,2024-01-05 12:30:00,0
TXN0000218,3738.98,online,debit,Lahore,13,3,1,2024-01-05 13:00:00,0
TXN0000219,1313.44,online,withdrawal,Multan,11,6,1,2024-01-05 13:30:00,0
TXN0000220,12813.88,travel,withdrawal,Lahore,12,0,1,2024-01-05 14:00:00,0
TXN0000221,9826.9,healthcare,transfer,Quetta,9,0,0,2024-01-05 14:30:00,0
TXN0000222,1689.54,grocery,credit,Multan,17,5,0,2024-01-05 15:00:00,0
TXN0000223,3654.77,grocery,debit,Multan,17,6,0,2024-01-05 15:30:00,0
TXN0000224,894.65,online,debit,Karachi,15,3,0,2024-01-05 16:00:00,0
TXN0000225,7915.34,grocery,credit,Multan,17,3,1,2024-01-05 16:30:00,0
TXN0000226,231152.63,online,transfer,Lahore,3,5,1,2024-01-05 17:00:00,1
TXN0000227,34112.05,online,debit,Multan,17,1,1,2024-01-05 17:30:00,0
TXN0000228,12137.86,healthcare,debit,Lahore,13,2,0,2024-01-05 18:00:00,0
TXN0000229,3957.5,restaurant,credit,Lahore,14,4,1,2024-01-05 18:30:00,0
TXN0000230,6912.7,restaurant,debit,Multan,19,4,0,2024-01-05 19:00:00,0
TXN0000231,19383.74,grocery,credit,Karachi,8,5,1,2024-01-05 19:30:00,0
TXN0000232,6461.27,restaurant,debit,Lahore,21,6,1,2024-01-05 20:00:00,0
TXN0000233,1534.11,grocery,debit,Karachi,21,4,1,2024-01-05 20:30:00,0
TXN0000234,3807.57,online,credit,Karachi,12,0,0,2024-01-05 21:00:00,0
TXN0000235,14819.46,atm,withdrawal,Multan,14,6,1,2024-01-05 21:30:00,0
TXN0000236,8267.38,grocery,debit,Peshawar,8,6,1,2024-01-05 22:00:00,0
TXN0000237,8415.15,online,debit,Peshawar,9,0,0,2024-01-05 22:30:00,0
TXN0000238,16128.52,grocery,debit,Lahore,16,1,1,2024-01-05 23:00:00,0
TXN0000239,17952.5,electronics,credit,Islamabad,19,5,1,2024-01-05 23:30:00,0
TXN0000240,20185.11,restaurant,transfer,Peshawar,10,0,0,2024-01-06 00:00:00,0
TXN0000241,797.23,grocery,debit,Multan,13,5,0,2024-01-06 00:30:00,0
TXN0000242,6284.31,grocery,debit,Multan,14,5,0,2024-01-06 01:00:00,0
TXN0000243,10792.28,travel,withdrawal,Peshawar,16,6,0,2024-01-06 01:30:00,0
TXN0000244,11315.14,restaurant,transfer,Islamabad,12,3,1,2024-01-06 02:00:00,0
TXN0000245,7465.79,grocery,credit,Quetta,11,2,1,2024-01-06 02:30:00,0
TXN0000246,1459.73,electronics,debit,Lahore,18,2,0,2024-01-06 03:00:00,0
TXN0000247,358968.57,restaurant,debit,Quetta,23,5,1,2024-01-06 03:30:00,1
TXN0000248,702895.22,grocery,transfer,Quetta,1,2,1,2024-01-06 04:00:00,1
TXN0000249,720.59,electronics,credit,Karachi,10,2,0,2024-01-06 04:30:00,0
TXN0000250,4986.13,atm,credit,Karachi,12,4,1,2024-01-06 05:00:00,0
TXN0000251,1529.07,online,debit,Lahore,18,6,1,2024-01-06 05:30:00,0
TXN0000252,3293.6,atm,credit,Islamabad,20,4,1,2024-01-06 06:00:00,0
TXN0000253,145.97,grocery,transfer,Karachi,9,3,0,2024-01-06 06:30:00,0
TXN0000254,4091.0,restaurant,withdrawal,Peshawar,20,1,1,2024-01-06 07:00:00,0
TXN0000255,6385.87,restaurant,debit,Lahore,11,6,1,2024-01-06 07:30:00,0
TXN0000256,7731.89,grocery,credit,Multan,8,0,1,2024-01-06 08:00:00,0
TXN0000257,8713.03,grocery,credit,Quetta,11,0,0,2024-01-06 08:30:00,0
TXN0000258,14477.33,healthcare,transfer,Lahore,14,4,0,2024-01-06 09:00:00,0
TXN0000259,1941.29,travel,transfer,Multan,21,5,1,2024-01-06 09:30:00,0
TXN0000260,1027.05,online,withdrawal,Multan,19,2,1,2024-01-06 10:00:00,0
TXN0000261,430853.8,online,withdrawal,Karachi,0,3,0,2024-01-06 10:30:00,1
TXN0000262,1362.63,atm,debit,Multan,17,1,0,2024-01-06 11:00:00,0
TXN0000263,29434.63,atm,transfer,Islamabad,15,4,0,2024-01-06 11:30:00,0
TXN0000264,14788.58,grocery,credit,Multan,13,5,0,2024-01-06 12:00:00,0
TXN0000265,5559.22,grocery,debit,Multan,13,3,1,2024-01-06 12:30:00,0
TXN0000266,31885.97,restaurant,debit,Quetta,21,5,0,2024-01-06 13:00:00,0
TXN0000267,819.6,atm,debit,Islamabad,8,3,0,2024-01-06 13:30:00,0
TXN0000268,2888.51,online,transfer,Lahore,12,4,0,2024-01-06 14:00:00,0
TXN0000269,8133.85,healthcare,debit,Islamabad,10,3,0,2024-01-06 14:30:00,0
TXN0000270,3446.35,atm,transfer,Islamabad,17,6,1,2024-01-06 15:00:00,0
TXN0000271,21090.22,grocery,credit,Lahore,8,2,1,2024-01-06 15:30:00,0
TXN0000272,543.03,atm,transfer,Quetta,15,3,1,2024-01-06 16:00:00,0
TXN0000273,6377.61,travel,debit,Multan,14,1,1,2024-01-06 16:30:00,0
TXN0000274,7149.71,grocery,credit,Islamabad,14,3,0,2024-01-06 17:00:00,0
TXN0000275,8461.18,electronics,credit,Islamabad,19,6,1,2024-01-06 17:30:00,0
TXN0000276,2362.13,atm,debit,Lahore,17,0,1,2024-01-06 18:00:00,0
TXN0000277,3627.58,healthcare,transfer,Peshawar,21,6,0,2024-01-06 18:30:00,0
TXN0000278,14846.83,electronics,credit,Islamabad,17,3,1,2024-01-06 19:00:00,0
TXN0000279,1734.74,grocery,debit,Karachi,17,5,1,2024-01-06 19:30:00,0
TXN0000280,14029.6,online,transfer,Multan,11,4,1,2024-01-06 20:00:00,0
TXN0000281,6616.27,atm,debit,Multan,20,0,0,2024-01-06 20:30:00,0
TXN0000282,11490.18,atm,credit,Quetta,18,4,0,2024-01-06 21:00:00,0
TXN0000283,10003.13,online,credit,Islamabad,13,5,0,2024-01-06 21:30:00,0
TXN0000284,1860.62,online,debit,Lahore,20,1,1,2024-01-06 22:00:00,0
TXN0000285,6729.7,grocery,transfer,Karachi,16,2,0,2024-01-06 22:30:00,0
TXN0000286,16182.87,travel,transfer,Lahore,21,1,0,2024-01-06 23:00:00,0
TXN0000287,4526.71,electronics,transfer,Islamabad,10,0,1,2024-01-06 23:30:00,0
TXN0000288,27191.38,restaurant,debit,Karachi,16,5,0,2024-01-07 00:00:00,0
TXN0000289,4814.98,grocery,debit,Quetta,11,5,1,2024-01-07 00:30:00,0
TXN0000290,1232.54,online,debit,Quetta,12,2,1,2024-01-07 01:00:00,0
TXN0000291,3946.96,electronics,withdrawal,Quetta,14,3,0,2024-01-07 01:30:00,0
TXN0000292,24242.99,travel,debit,Peshawar,13,0,1,2024-01-07 02:00:00,0
TXN0000293,3082.02,electronics,credit,Lahore,17,2,1,2024-01-07 02:30:00,0
TXN0000294,16205.58,electronics,transfer,Islamabad,15,6,1,2024-01-07 03:00:00,0
TXN0000295,17045.92,electronics,transfer,Karachi,15,6,0,2024-01-07 03:30:00,0
TXN0000296,3448.56,atm,transfer,Multan,15,4,1,2024-01-07 04:00:00,0
TXN0000297,695.43,electronics,withdrawal,Multan,10,2,0,2024-01-07 04:30:00,0
TXN0000298,10315.02,atm,debit,Lahore,21,4,0,2024-01-07 05:00:00,0
TXN0000299,2986.06,travel,debit,Islamabad,17,6,1,2024-01-07 05:30:00,0
TXN0000300,12220.05,online,debit,Peshawar,13,6,1,2024-01-07 06:00:00,0
TXN0000301,4676.56,online,debit,Islamabad,14,4,1,2024-01-07 06:30:00,0
TXN0000302,5312.85,healthcare,credit,Lahore,16,5,1,2024-01-07 07:00:00,0
TXN0000303,12037.36,electronics,debit,Islamabad,17,2,1,2024-01-07 07:30:00,0
TXN0000304,3854.84,grocery,transfer,Multan,17,5,0,2024-01-07 08:00:00,0
TXN0000305,312890.4,restaurant,debit,Multan,2,6,0,2024-01-07 08:30:00,1
TXN0000306,3775.28,grocery,debit,Karachi,19,5,1,2024-01-07 09:00:00,0
TXN0000307,3662.58,atm,transfer,Peshawar,11,1,0,2024-01-07 09:30:00,0
