customer_number,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography,Gender,Exited
C000102,785,30,4,487618.15,2,1,1,161603.55,Islamabad,Male,0
C000103,510,53,7,156132.51,1,1,0,276770.59,Quetta,Female,0
C000104,813,24,3,297388.06,4,0,1,360682.81,Islamabad,Female,0
C000105,409,25,0,381141.83,3,1,1,585244.51,Quetta,Male,1
C000106,564,27,10,304466.51,4,1,0,84736.53,Lahore,Male,1
C000107,417,30,9,209249.99,4,0,1,297831.83,Peshawar,Male,0
C000108,789,47,7,76287.79,4,1,1,261911.74,Islamabad,Female,0
C000109,710,23,5,231850.7,3,0,1,501575.1,Peshawar,Male,0
C000110,541,23,7,147392.1,3,0,0,544166.39,Karachi,Male,1
C000111,837,71,2,347960.14,2,1,0,547927.37,Islamabad,Female,0
C000112,574,42,7,220956.38,3,0,0,250078.02,Karachi,Male,0
C000113,741,43,7,424939.88,2,0,1,210606.88,Karachi,Male,0
C000114,546,24,0,96661.22,3,1,1,291516.86,Lahore,Male,0
C000115,510,56,3,208860.06,2,1,1,232632.33,Karachi,Male,1
C000116,598,71,6,278752.49,4,0,0,442556.55,Karachi,Male,1
C000117,758,59,10,63007.34,3,1,0,159599.79,Quetta,Female,0
C000118,804,54,0,293955.04,1,0,0,408863.09,Islamabad,Male,0
C000119,460,36,2,145460.7,1,0,1,559113.02,Peshawar,Male,0
C000120,740,32,2,114768.59,2,1,0,196751.6,Quetta,Male,0
C000121,408,31,5,70955.37,3,0,0,419058.75,Lahore,Female,0
C000122,382,57,4,174940.96,3,1,1,120394.23,Karachi,Female,0
C000123,390,35,10,464491.21,1,1,0,107975.01,Karachi,Female,1
C000124,510,23,6,15502.93,3,1,1,104760.91,Lahore,Male,0
C000125,378,66,2,426078.1,3,1,1,117575.78,Lahore,Female,0
C000126,604,69,10,198680.45,2,0,0,161052.33,Lahore,Male,0
C000127,841,65,0,280800.82,4,1,0,355185.08,Lahore,Male,1
C000128,772,58,10,256406.15,1,1,1,469511.96,Karachi,Male,0
C000129,534,50,2,462870.13,4,1,0,111039.93,Lahore,Male,0
C000130,710,56,7,385064.63,3,0,1,527208.37,Karachi,Male,0
C000131,573,41,4,492411.77,3,1,0,511921.12,Peshawar,Male,0
C000132,706,42,2,397214.98,2,0,0,447337.29,Karachi,Male,0
C000133,841,55,7,147944.25,4,0,1,278540.85,Lahore,Female,0
C000134,570,70,5,481441.84,4,0,1,40872.05,Karachi,Female,0
C000135,669,64,2,491782.9,2,0,0,451468.37,Islamabad,Female,1
C000136,435,54,4,61546.85,4,1,0,532232.24,Karachi,Male,0
C000137,415,40,0,450522.09,2,1,1,227760.37,Karachi,Female,0
C000138,463,29,5,332101.09,2,0,0,442073.03,Lahore,Female,1
C000139,727,52,8,460996.89,3,0,0,74746.66,Peshawar,Female,0
C000140,614,32,6,457869.51,3,1,0,437317.13,Peshawar,Male,0
C000141,634,29,10,445686.52,3,0,1,78252.77,Karachi,Female,0
C000142,446,46,7,442637.8,2,0,0,368824.35,Islamabad,Male,0
C000143,679,70,5,58823.12,3,0,0,374629.84,Karachi,Male,0
C000144,473,41,10,71757.85,1,1,0,209207.67,Karachi,Male,0
C000145,505,59,4,58889.71,1,0,1,84308.73,Lahore,Female,0
C000146,459,28,5,45514.54,3,0,1,571627.47,Karachi,Male,1
C000147,402,34,6,176642.64,2,0,0,339923.35,Islamabad,Male,0
C000148,523,60,8,341979.21,1,1,1,364664.55,Peshawar,Female,0
C000149,516,64,7,177346.31,3,0,1,384411.7,Karachi,Male,0
C000150,425,31,4,360150.17,1,1,0,538986.84,Karachi,Female,1
C000151,663,29,6,410141.56,1,1,0,73743.16,Lahore,Female,0
C000152,563,63,7,333107.37,1,1,1,540241.15,Lahore,Male,1
C000153,531,64,0,232552.36,4,1,0,174218.84,Peshawar,Male,0
C000154,739,41,7,147758.72,1,0,0,83652.14,Peshawar,Male,0
C000155,394,38,10,62201.68,3,0,0,408068.88,Lahore,Female,1
C000156,773,32,6,246825.91,1,1,0,587106.36,Karachi,Female,0
C000157,500,37,10,359799.48,3,0,1,72055.56,Islamabad,Male,0
C000158,466,58,1,274121.61,1,0,1,278628.22,Karachi,Male,0
C000159,471,63,1,360740.96,1,1,0,336679.33,Quetta,Male,1
C000160,831,53,5,167609.84,4,1,0,181186.62,Karachi,Female,0
C000161,519,47,2,33398.03,1,0,1,590408.4,Lahore,Male,0
C000162,515,58,0,385548.96,3,0,0,398939.4,Karachi,Male,0
C000163,749,30,7,109862.06,4,0,0,512836.38,Lahore,Female,0
C000164,679,56,6,308142.53,4,0,0,272835.5,Lahore,Male,0
C000165,780,24,3,402146.37,1,1,1,238215.3,Islamabad,Male,0
C000166,498,52,0,69555.0,1,1,0,349768.42,Islamabad,Female,0
C000167,849,63,1,299247.36,2,1,0,283755.93,Lahore,Female,0
C000168,423,28,8,344687.18,1,0,0,440370.91,Karachi,Male,1
C000169,808,23,3,373265.43,2,1,0,188858.13,Peshawar,Female,1
C000170,498,46,2,73833.31,3,0,0,291770.98,Islamabad,Male,0
C000171,374,61,7,412558.08,1,1,1,541274.34,Karachi,Female,0
C000172,729,33,3,47074.28,1,0,0,463420.42,Islamabad,Female,0
C000173,410,51,6,259791.73,2,0,1,134119.29,Quetta,Female,0
C000174,703,51,4,221706.35,2,1,1,536644.3,Lahore,Female,0
C000175,403,50,4,110883.04,4,1,0,369849.29,Karachi,Female,0
C000176,572,62,10,150965.37,4,0,0,420400.82,Lahore,Male,0
C000177,568,32,5,82217.89,1,0,0,204783.68,Karachi,Male,0
C000178,822,44,3,212863.1,3,1,0,287264.79,Islamabad,Male,0
C000179,665,38,1,17755.46,4,0,0,491814.99,Lahore,Female,0
C000180,519,34,5,444457.64,4,0,0,225178.68,Peshawar,Male,0
C000181,538,54,4,81743.67,4,0,0,132434.5,Lahore,Male,1
C000182,381,22,2,443008.88,2,1,0,251850.75,Karachi,Female,0
C000183,402,61,3,431788.7,1,0,0,78762.45,Islamabad,Male,1
C000184,777,34,2,225838.6,2,0,0,441999.62,Karachi,Female,0
C000185,488,59,2,248862.86,3,0,1,122737.71,Karachi,Male,0
C000186,723,24,3,150956.77,2,1,0,199670.51,Lahore,Male,0
C000187,396,37,1,498437.3,1,1,0,533405.36,Karachi,Male,0
C000188,439,63,3,335386.1,2,1,0,342678.69,Quetta,Male,1
C000189,665,28,9,475904.14,3,0,1,219949.53,Lahore,Male,0
C000190,385,24,10,207398.42,1,0,1,346693.46,Islamabad,Male,1
C000191,834,35,1,441508.29,1,0,1,162235.49,Karachi,Male,0
C000192,793,37,9,224117.32,1,0,0,54096.95,Islamabad,Female,0
C000193,766,25,7,433414.44,1,0,1,378090.19,Lahore,Male,0
C000194,574,52,9,65463.28,3,0,0,439910.52,Lahore,Female,0
C000195,391,34,4,318427.21,1,1,0,532677.79,Quetta,Female,0
C000196,577,48,6,339351.76,3,0,1,472254.68,Lahore,Male,0
C000197,618,22,10,328085.35,3,1,0,558939.51,Islamabad,Male,0
C000198,747,46,3,223513.81,2,0,1,592133.95,Karachi,Male,0
C000199,535,58,9,341958.06,2,0,1,457163.85,Karachi,Female,0
C000200,720,71,5,119731.55,1,1,1,526037.05,Peshawar,Female,0
C000201,706,65,9,297924.3,4,1,0,417289.64,Islamabad,Male,0
C000202,584,32,3,277117.46,4,0,0,135725.16,Lahore,Female,1
C000203,471,30,5,159169.76,1,0,0,141753.36,Peshawar,Female,0
C000204,773,28,0,389431.9,3,0,0,101745.3,Lahore,Female,0
C000205,670,35,5,40436.03,2,1,1,568065.84,Lahore,Male,0
C000206,738,51,5,85719.83,1,0,0,416740.95,Lahore,Male,0
C000207,763,45,1,235575.02,1,0,1,482349.46,Lahore,Male,0
C000208,466,24,9,445868.35,3,1,0,225448.11,Karachi,Female,0
C000209,815,69,9,287579.78,2,1,1,297836.16,Lahore,Female,0
C000210,778,60,8,421033.43,4,0,1,62276.54,Quetta,Male,0
C000211,706,48,5,258784.86,4,0,0,537844.14,Karachi,Male,0
C000212,791,22,10,392727.98,1,1,1,517681.92,Karachi,Female,0
C000213,388,59,6,162898.7,1,0,0,479494.35,Karachi,Female,1
C000214,745,47,1,407571.16,1,1,0,72649.16,Karachi,Male,0
C000215,511,27,1,200843.04,1,1,1,137579.85,Lahore,Male,0
C000216,458,63,1,279415.58,1,0,0,227135.57,Karachi,Male,1
C000217,363,33,9,87940.75,4,1,1,187315.1,Lahore,Male,0
C000218,515,59,10,460216.51,1,1,0,509537.51,Lahore,Male,1
C000219,749,67,8,350729.56,2,0,1,149108.02,Islamabad,Male,0
C000220,711,56,2,429427.41,3,1,1,337989.7,Quetta,Female,0
C000221,794,31,3,103931.45,4,1,0,359973.41,Lahore,Female,0
C000222,792,30,0,33842.18,3,0,0,278006.63,Karachi,Male,0
C000223,680,44,0,168604.63,3,0,1,174785.24,Karachi,Female,0
C000224,830,51,3,258342.7,1,1,0,577764.8,Islamabad,Female,0
C000225,684,43,1,401184.94,3,0,1,271503.58,Islamabad,Male,0
C000226,461,68,7,198863.21,2,1,0,447293.6,Karachi,Female,1
C000227,583,30,3,134979.16,1,1,1,143066.03,Karachi,Female,0
C000228,551,40,2,186272.56,4,1,0,500774.25,Islamabad,Female,0
C000229,672,29,2,351803.71,2,0,1,160899.42,Lahore,Male,0
C000230,488,25,5,168109.05,4,1,0,418171.71,Lahore,Male,0
C000231,616,26,5,489582.81,1,1,0,323637.76,Karachi,Male,0
C000232,621,40,5,87489.54,1,0,1,122072.0,Lahore,Male,0
C000233,515,67,5,376548.06,4,0,1,53971.55,Islamabad,Female,0
C000234,763,39,7,294581.81,3,0,1,561219.03,Peshawar,Female,0
C000235,518,50,7,116547.8,4,0,1,110386.69,Islamabad,Female,0
C000236,606,40,8,376806.82,2,1,1,434772.8,Lahore,Male,1
C000237,473,27,0,223770.11,3,0,1,405503.58,Islamabad,Male,0
C000238,387,26,9,341199.14,1,0,0,231363.22,Lahore,Female,0
C000239,719,64,7,331128.62,2,1,0,143814.42,Karachi,Male,0
C000240,598,26,4,55321.72,2,1,1,139863.82,Peshawar,Male,0
C000241,586,29,2,419991.51,1,0,0,367783.6,Lahore,Female,1
C000242,447,48,10,340737.45,3,0,1,346275.92,Lahore,Female,1
C000243,409,58,9,390293.36,1,0,0,530523.61,Quetta,Female,0
C000244,368,64,2,223882.92,2,0,1,398401.72,Quetta,Male,0
C000245,473,66,5,97530.86,2,1,1,498793.99,Lahore,Male,1
C000246,575,59,7,163106.76,2,0,0,58151.31,Karachi,Female,1
C000247,792,58,9,450734.61,1,1,1,415756.16,Lahore,Female,1
C000248,449,39,1,469009.3,4,1,0,170876.84,Peshawar,Female,0
C000249,673,47,8,240933.2,2,0,0,181589.82,Karachi,Male,0
C000250,743,63,4,149397.79,2,1,0,443522.86,Quetta,Female,1
C000251,366,37,4,365155.56,3,0,0,484322.46,Karachi,Male,0
C000252,597,43,0,382996.51,4,0,0,248171.87,Lahore,Male,0
C000253,429,67,5,407733.15,3,0,0,482443.02,Lahore,Male,0
C000254,434,44,10,15541.91,2,0,0,288497.02,Karachi,Female,0
C000255,697,68,10,4866.94,4,1,0,520281.4,Peshawar,Male,0
C000256,805,24,4,178577.81,3,0,0,53946.11,Lahore,Male,0
C000257,378,24,6,76248.31,1,1,0,86757.24,Karachi,Female,1
C000258,483,33,6,402490.93,3,0,1,474757.01,Lahore,Male,0
C000259,827,44,3,266421.93,4,1,0,389490.19,Islamabad,Male,0
C000260,543,68,4,412674.06,3,1,0,353051.34,Karachi,Female,0
C000261,468,32,9,88456.54,4,0,1,383828.13,Peshawar,Female,0
C000262,727,63,7,313611.35,4,0,1,560906.75,Karachi,Male,0
C000263,716,68,1,290086.05,3,1,1,407100.74,Karachi,Female,0
C000264,540,71,0,170189.15,3,1,1,402586.63,Karachi,Male,0
C000265,764,67,5,258540.65,1,1,0,465303.69,Karachi,Female,0
C000266,502,50,10,294513.77,3,0,0,525307.6,Karachi,Female,0
C000267,692,27,3,444743.9,4,0,0,186670.99,Quetta,Male,0
C000268,840,67,9,27819.19,2,0,1,385379.36,Karachi,Female,0
C000269,754,37,2,411686.93,3,0,1,367025.98,Karachi,Male,0
C000270,621,55,6,490078.19,3,1,0,115515.71,Karachi,Male,0
C000271,481,58,7,365887.53,4,1,1,331377.51,Lahore,Female,0
C000272,712,32,10,368673.49,2,1,0,78948.29,Islamabad,Male,0
C000273,779,32,3,108987.15,1,1,1,143577.37,Islamabad,Male,0
C000274,357,46,9,261536.64,2,1,1,551259.33,Karachi,Male,0
C000275,483,40,10,352970.16,4,0,0,106776.18,Islamabad,Male,0
C000276,730,53,10,301140.5,4,0,0,364193.13,Lahore,Female,0
C000277,733,71,5,192565.8,4,1,0,221149.19,Lahore,Female,0
C000278,658,29,10,470059.21,4,0,1,350975.44,Lahore,Male,0
C000279,724,33,10,256993.37,2,0,1,171585.18,Islamabad,Male,0
C000280,541,62,1,484937.93,2,0,0,288852.49,Karachi,Male,0
C000281,440,56,7,281937.84,2,0,0,525706.72,Karachi,Male,0
C000282,784,27,5,396691.72,3,0,0,250681.51,Karachi,Male,1
C000283,598,42,10,371011.55,4,1,1,237697.33,Lahore,Male,0
C000284,833,47,8,330411.89,3,1,1,289826.12,Karachi,Male,0
C000285,601,22,10,7230.42,3,0,0,96275.99,Lahore,Female,0
C000286,833,38,5,38714.58,3,1,0,256914.33,Peshawar,Female,0
C000287,412,56,5,290742.14,1,1,0,43864.14,Lahore,Female,0
C000288,565,48,1,455890.71,3,0,1,321902.4,Lahore,Female,0
C000289,483,71,4,300570.83,4,0,1,514847.0,Islamabad,Male,0
C000290,795,71,8,117998.0,3,0,0,349160.94,Islamabad,Female,1
C000291,456,23,0,160109.2,4,0,1,380326.1,Lahore,Female,0
C000292,510,57,3,311579.94,1,1,0,57115.49,Lahore,Female,1
C000293,607,22,9,298527.23,2,0,0,521328.39,Islamabad,Male,0
C000294,774,31,9,477851.46,4,0,0,255601.99,Karachi,Female,0
C000295,365,52,2,264542.28,3,1,1,585917.5,Lahore,Female,0
C000296,707,58,0,177507.44,4,0,0,107460.61,Karachi,Male,0
C000297,724,26,0,262496.38,3,1,0,569016.26,Quetta,Female,0
C000298,408,62,0,393116.99,2,1,1,395202.91,Karachi,Male,0
C000299,358,67,0,270181.9,4,0,0,69310.57,Karachi,Male,1
C000300,848,34,1,163026.28,3,1,0,584151.48,Lahore,Male,0
C000301,546,66,10,169310.53,4,0,0,47768.92,Peshawar,Male,0
C000302,466,45,4,378405.91,2,1,0,449192.09,Lahore,Female,1
C000303,359,48,1,33224.14,2,0,1,538136.77,Islamabad,Male,0
C000304,699,22,3,137377.64,2,0,1,138454.47,Islamabad,Male,0
C000305,356,70,8,76518.8,4,1,0,232280.03,Lahore,Female,1
C000306,698,41,2,472337.82,4,0,1,354288.43,Islamabad,Male,0
C000307,543,29,1,45047.13,3,1,1,420693.2,Karachi,Female,0
C000308,753,24,3,379091.8,2,1,1,528250.49,Peshawar,Female,1
C000309,472,70,8,315212.78,3,0,1,466199.46,Islamabad,Male,0
C000310,412,53,3,316402.2,4,1,1,243465.44,Peshawar,Female,0
C000311,353,65,4,381716.51,1,0,1,500163.09,Islamabad,Female,0
C000312,633,46,3,200243.99,2,1,1,581002.96,Peshawar,Female,0
C000313,677,46,7,200371.68,3,0,1,167112.26,Karachi,Female,0
C000314,599,71,3,144352.89,2,1,0,81493.53,Karachi,Female,0
C000315,768,35,1,298875.02,3,1,0,278907.05,Karachi,Male,0
C000316,479,64,3,464902.63,3,1,0,533582.38,Karachi,Male,0
C000317,774,48,1,461991.6,1,1,0,124163.24,Islamabad,Female,1
C000318,761,69,8,351480.34,4,1,0,536046.99,Karachi,Female,0
C000319,424,53,10,453092.89,2,0,0,595639.29,Karachi,Male,0
C000320,833,48,7,481759.41,4,0,0,70241.25,Islamabad,Male,0
C000321,678,25,8,397552.47,3,1,0,317343.57,Peshawar,Male,0
C000322,707,71,3,203916.66,4,0,1,224175.88,Islamabad,Female,0
C000323,734,60,0,241612.48,1,0,0,260460.72,Islamabad,Male,0
C000324,603,32,2,465628.46,4,0,0,292915.46,Lahore,Female,0
C000325,760,69,6,335004.04,3,1,1,454234.22,Peshawar,Female,0
C000326,672,69,0,410346.98,3,0,1,371127.83,Lahore,Male,1
C000327,516,24,10,58057.02,1,0,0,578272.61,Quetta,Male,0
C000328,550,46,7,96950.71,2,1,0,226348.18,Karachi,Female,0
C000329,517,45,8,172054.23,1,1,0,343242.29,Islamabad,Male,0
C000330,633,30,7,94120.33,2,1,1,495463.98,Lahore,Male,0
C000331,818,29,4,453232.53,3,1,0,248895.91,Lahore,Male,0
C000332,697,60,10,108445.27,4,1,1,300567.55,Islamabad,Female,0
C000333,842,52,8,278591.86,3,0,0,423585.75,Islamabad,Male,0
C000334,757,38,3,42726.94,1,0,1,522016.76,Peshawar,Female,0
C000335,687,64,8,77480.92,1,0,1,272781.62,Karachi,Female,0
C000336,400,52,0,123707.57,4,1,1,337892.26,Karachi,Female,0
C000337,405,25,10,491446.7,1,0,0,586068.48,Karachi,Male,1
C000338,422,25,2,398531.88,3,1,0,63782.73,Karachi,Male,0
C000339,631,58,3,336777.53,4,0,1,291008.08,Karachi,Male,0
C000340,437,29,10,458130.99,2,0,1,396149.84,Islamabad,Male,0
C000341,401,63,9,478104.33,1,1,1,44719.38,Lahore,Male,0
C000342,474,70,0,226786.46,2,0,0,374200.44,Islamabad,Female,0
C000343,611,27,5,163844.72,4,0,1,71471.97,Lahore,Female,0
C000344,792,30,3,157657.66,1,1,0,520232.7,Lahore,Male,1
C000345,722,63,3,17864.55,4,0,0,491968.21,Karachi,Male,0
C000346,617,29,0,139819.05,1,0,1,58062.88,Islamabad,Male,0
C000347,412,53,4,177522.98,1,0,1,67330.25,Islamabad,Male,0
C000348,385,36,8,18449.42,1,1,0,462023.8,Karachi,Female,0
C000349,358,39,5,441302.41,4,1,0,246945.14,Karachi,Male,0
C000350,679,44,7,423928.37,4,0,0,362014.44,Karachi,Male,0
C000351,672,26,10,125750.46,3,0,1,191383.83,Islamabad,Male,0
C000352,590,71,3,401279.45,3,1,0,136862.57,Islamabad,Male,0
C000353,634,48,8,398105.94,4,1,0,205803.19,Lahore,Female,0
C000354,676,54,6,167506.38,4,1,1,178159.67,Karachi,Male,0
C000355,439,23,6,348534.02,1,0,0,291052.17,Karachi,Female,0
C000356,613,63,7,144928.92,3,0,1,458138.65,Karachi,Male,0
C000357,648,59,1,35138.12,3,1,1,350312.47,Karachi,Female,1
C000358,554,49,5,252398.92,4,1,1,381139.85,Karachi,Female,0
C000359,640,45,6,219163.52,3,0,1,303244.01,Karachi,Female,0
C000360,560,42,2,69076.46,4,1,1,221850.84,Lahore,Male,0
C000361,715,52,7,245276.67,3,0,1,120364.94,Lahore,Female,0
C000362,627,32,0,474687.87,2,1,1,238556.66,Lahore,Male,0
C000363,813,71,0,365696.57,2,1,1,412511.23,Lahore,Male,0
C000364,556,49,9,369436.15,3,0,1,450915.36,Islamabad,Female,0
C000365,671,69,2,378775.4,4,1,0,302741.66,Lahore,Female,0
C000366,707,61,5,372316.9,2,1,1,401198.47,Karachi,Male,0
C000367,754,25,6,9950.72,1,0,0,157903.01,Islamabad,Female,0
C000368,443,64,1,462345.47,4,0,0,521637.14,Peshawar,Male,1
C000369,548,63,5,415068.88,2,0,1,524924.41,Karachi,Male,0
C000370,700,37,4,137289.7,1,0,1,219383.64,Karachi,Female,0
C000371,518,33,5,276371.75,2,0,1,346718.85,Peshawar,Male,0
C000372,646,43,0,307502.96,2,1,0,379730.74,Peshawar,Male,0
C000373,782,56,9,65972.51,1,1,1,304560.82,Karachi,Male,1
C000374,576,64,6,126981.69,1,0,0,550239.61,Karachi,Female,0
C000375,353,37,7,11625.22,3,0,0,454241.49,Islamabad,Male,0
C000376,447,45,6,431975.86,2,1,0,416605.88,Karachi,Male,0
C000377,542,56,8,12452.53,1,0,1,331252.2,Peshawar,Male,1
C000378,615,49,0,159347.92,3,0,1,87514.5,Karachi,Female,0
C000379,699,63,9,39123.25,1,0,0,100379.97,Peshawar,Female,0
C000380,573,50,8,390702.96,3,1,0,207444.96,Karachi,Female,0
C000381,416,42,10,462491.39,3,0,0,158452.47,Karachi,Female,0
